
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:44                                                                                            0600B (v2.0)
                                                                                                                           
COUNT(*)
156

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0600B_dps_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket    ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:44                                                                                            0600B (v2.0)
                                                                                                                           
slot_group	ItemLevelBracket	curve_raw	curve_3pnt
Ranged-Wand	20	100.34341	0.00000
Ranged-Wand	30	100.06944	0.00000
Ranged-Wand	40	97.90505	0.00000
Ranged-Wand	50	94.93482	0.00000
Ranged-Wand	60	93.89415	0.00000
Ranged-Wand	70	95.56884	0.00000
Ranged-Wand	80	92.79247	0.00000
Ranged-Wand	90	90.90303	0.00000
Ranged-Wand	100	100.07835	0.00000
Ranged-Wand	110	87.78459	0.00000
Ranged-Wand	120	87.25947	0.00000
Ranged-Wand	130	92.34870	0.00000
Ranged-Wand	140	86.29802	0.00000
Ranged-Wand	150	88.40477	0.00000
Ranged-Wand	160	89.05329	0.00000
Ranged-Wand	170	94.58478	0.00000
Ranged-Wand	180	83.53718	0.00000
Ranged-Wand	200	77.20835	0.00000
Ranged-Wand	210	75.76400	0.00000
Ranged-Wand	230	70.60406	0.00000
Ranged-Wand	240	70.08596	0.00000
Ranged-Wand	250	69.16420	0.00000
Ranged-Wand	260	69.67434	0.00000
Ranged-Wand	270	69.94808	0.00000
Ranged-Weapon	10	99.69772	0.00000
Ranged-Weapon	20	97.88077	0.00000
Ranged-Weapon	30	99.69551	0.00000
Ranged-Weapon	40	88.00335	0.00000
Ranged-Weapon	50	90.11482	0.00000
Ranged-Weapon	60	84.54589	0.00000
Ranged-Weapon	70	87.92647	0.00000
Ranged-Weapon	80	98.22421	0.00000
Ranged-Weapon	90	86.72574	0.00000
Ranged-Weapon	100	87.64465	0.00000
Ranged-Weapon	110	82.34413	0.00000
Ranged-Weapon	120	85.94764	0.00000
Ranged-Weapon	130	91.53740	0.00000
Ranged-Weapon	140	74.48438	0.00000
Ranged-Weapon	150	85.87459	0.00000
Ranged-Weapon	160	81.74736	0.00000
Ranged-Weapon	170	91.11363	0.00000
Ranged-Weapon	180	81.37625	0.00000
Ranged-Weapon	200	62.34376	0.00000
Ranged-Weapon	210	56.80875	0.00000
Ranged-Weapon	220	65.45408	0.00000
Ranged-Weapon	230	58.79030	0.00000
Ranged-Weapon	240	59.15669	0.00000
Ranged-Weapon	250	58.77508	0.00000
Ranged-Weapon	260	61.83920	0.00000
Ranged-Weapon	270	61.57230	0.00000
Ranged-Weapon	280	57.82186	0.00000
Staff-Weapon	10	82.16260	0.00000
Staff-Weapon	20	70.72049	0.00000
Staff-Weapon	30	71.77445	0.00000
Staff-Weapon	40	70.03148	0.00000
Staff-Weapon	50	67.47639	0.00000
Staff-Weapon	60	64.43714	0.00000
Staff-Weapon	70	52.46447	0.00000
Staff-Weapon	80	68.32275	0.00000
Staff-Weapon	90	61.75538	0.00000
Staff-Weapon	100	60.54248	0.00000
Staff-Weapon	110	48.32005	0.00000
Staff-Weapon	120	58.39466	0.00000
Staff-Weapon	130	57.01067	0.00000
Staff-Weapon	140	45.13159	0.00000
Staff-Weapon	150	50.94966	0.00000
Staff-Weapon	160	61.75990	0.00000
Staff-Weapon	170	72.06092	0.00000
Staff-Weapon	180	50.86556	0.00000
Staff-Weapon	200	24.78733	0.00000
Staff-Weapon	210	21.17438	0.00000
Staff-Weapon	220	34.68890	0.00000
Staff-Weapon	230	18.11311	0.00000
Staff-Weapon	240	20.68171	0.00000
Staff-Weapon	250	19.40541	0.00000
Staff-Weapon	260	18.74867	0.00000
Staff-Weapon	270	19.00816	0.00000
Staff-Weapon	280	15.02334	0.00000

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Apply 3-Point Smoothing Window to Table: ACSBV3_0600B_dps_curve                                                   ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:46                                                                                            0600B (v2.0)
                                                                                                                           
slot_group	ItemLevelBracket	curve_raw	curve_3pnt
1H-Weapon	10	91.27853	86.89440
1H-Weapon	20	82.51026	86.40107
1H-Weapon	30	85.41443	84.72551
1H-Weapon	40	86.25185	86.54279
1H-Weapon	50	87.96210	86.07134
1H-Weapon	60	84.00007	83.21421
1H-Weapon	70	77.68045	81.70528
1H-Weapon	80	83.43533	81.19314
1H-Weapon	90	82.46365	81.65743
1H-Weapon	100	79.07332	77.05630
1H-Weapon	110	69.63194	72.81608
1H-Weapon	120	69.74297	67.48498
1H-Weapon	130	63.08003	65.24879
1H-Weapon	140	62.92337	62.63318
1H-Weapon	150	61.89613	61.94990
1H-Weapon	160	61.03020	59.44590
1H-Weapon	170	55.41136	56.19635
1H-Weapon	180	52.14748	50.61707
1H-Weapon	200	44.29236	45.08170
1H-Weapon	210	38.80526	44.75497
1H-Weapon	220	51.16730	42.63816
1H-Weapon	230	37.94193	40.74482
1H-Weapon	240	33.12523	34.37616
1H-Weapon	250	32.06132	33.51989
1H-Weapon	260	35.37312	33.81565
1H-Weapon	270	34.01252	32.27935
1H-Weapon	280	27.45240	30.73246
2H-Weapon	10	81.89551	76.60185
2H-Weapon	20	71.30818	74.99481
2H-Weapon	30	71.78074	74.43863
2H-Weapon	40	80.22697	77.51837
2H-Weapon	50	80.54741	79.48603
2H-Weapon	60	77.68372	74.09173
2H-Weapon	70	64.04405	72.79539
2H-Weapon	80	76.65841	74.44602
2H-Weapon	90	82.63561	75.20257
2H-Weapon	100	66.31368	69.17553
2H-Weapon	110	58.57731	61.29950
2H-Weapon	120	59.00750	61.50718
2H-Weapon	130	66.93673	60.50996
2H-Weapon	140	55.58565	63.27631
2H-Weapon	150	67.30654	70.63703
2H-Weapon	160	89.01889	81.33778
2H-Weapon	170	87.68790	77.88668
2H-Weapon	180	56.95325	61.52081
2H-Weapon	200	39.92129	44.73208
2H-Weapon	210	37.32169	39.35471
2H-Weapon	220	40.82116	38.23490
2H-Weapon	230	36.56186	37.74748
2H-Weapon	240	35.85943	35.95355
2H-Weapon	250	35.43936	36.05936
2H-Weapon	260	36.87929	36.18808
2H-Weapon	270	36.24559	36.01139
2H-Weapon	280	34.90928	35.57744
Ranged-Thrown	10	93.14040	93.92720
Ranged-Thrown	20	94.71400	93.65757
Ranged-Thrown	40	93.11830	95.94410
Ranged-Thrown	50	100.00001	92.47294
Ranged-Thrown	60	84.30050	94.76683
Ranged-Thrown	70	99.99999	94.89937
Ranged-Thrown	80	100.39761	97.15648
Ranged-Thrown	90	91.07185	94.52615
Ranged-Thrown	100	92.10899	89.23526
Ranged-Thrown	110	84.52494	87.34012
Ranged-Thrown	120	85.38643	85.39834
Ranged-Thrown	130	86.28366	84.28458
Ranged-Thrown	140	81.18365	84.56709
Ranged-Thrown	150	86.23395	89.13920
Ranged-Thrown	160	100.00000	92.88945
Ranged-Thrown	170	92.43439	89.62968
Ranged-Thrown	180	76.45466	78.51501
Ranged-Thrown	200	66.65598	70.47051
Ranged-Thrown	210	68.30090	66.22008
Ranged-Thrown	230	63.70335	64.69943
Ranged-Thrown	240	62.09405	62.40000
Ranged-Thrown	250	61.40261	61.81728
Ranged-Thrown	260	61.95518	61.67890
Ranged-Wand	10	99.84382	100.09362
Ranged-Wand	20	100.34341	100.08556
Ranged-Wand	30	100.06944	99.43930
Ranged-Wand	40	97.90505	97.63644
Ranged-Wand	50	94.93482	95.57801
Ranged-Wand	60	93.89415	94.79927
Ranged-Wand	70	95.56884	94.08515
Ranged-Wand	80	92.79247	93.08811
Ranged-Wand	90	90.90303	94.59128
Ranged-Wand	100	100.07835	92.92199
Ranged-Wand	110	87.78459	91.70747
Ranged-Wand	120	87.25947	89.13092
Ranged-Wand	130	92.34870	88.63540
Ranged-Wand	140	86.29802	89.01716
Ranged-Wand	150	88.40477	87.91869
Ranged-Wand	160	89.05329	90.68095
Ranged-Wand	170	94.58478	89.05842
Ranged-Wand	180	83.53718	85.11010
Ranged-Wand	200	77.20835	78.83651
Ranged-Wand	210	75.76400	74.52547
Ranged-Wand	230	70.60406	72.15134
Ranged-Wand	240	70.08596	69.95141
Ranged-Wand	250	69.16420	69.64150
Ranged-Wand	260	69.67434	69.59554
Ranged-Wand	270	69.94808	69.81121
Ranged-Weapon	10	99.69772	98.78925
Ranged-Weapon	20	97.88077	99.09133
Ranged-Weapon	30	99.69551	95.19321
Ranged-Weapon	40	88.00335	92.60456
Ranged-Weapon	50	90.11482	87.55469
Ranged-Weapon	60	84.54589	87.52906
Ranged-Weapon	70	87.92647	90.23219
Ranged-Weapon	80	98.22421	90.95881
Ranged-Weapon	90	86.72574	90.86487
Ranged-Weapon	100	87.64465	85.57151
Ranged-Weapon	110	82.34413	85.31214
Ranged-Weapon	120	85.94764	86.60972
Ranged-Weapon	130	91.53740	83.98981
Ranged-Weapon	140	74.48438	83.96546
Ranged-Weapon	150	85.87459	80.70211
Ranged-Weapon	160	81.74736	86.24519
Ranged-Weapon	170	91.11363	84.74575
Ranged-Weapon	180	81.37625	78.27788
Ranged-Weapon	200	62.34376	66.84292
Ranged-Weapon	210	56.80875	61.53553
Ranged-Weapon	220	65.45408	60.35104
Ranged-Weapon	230	58.79030	61.13369
Ranged-Weapon	240	59.15669	58.90736
Ranged-Weapon	250	58.77508	59.92366
Ranged-Weapon	260	61.83920	60.72886
Ranged-Weapon	270	61.57230	60.41112
Ranged-Weapon	280	57.82186	59.69708
Staff-Weapon	10	82.16260	76.44155
Staff-Weapon	20	70.72049	74.88585
Staff-Weapon	30	71.77445	70.84214
Staff-Weapon	40	70.03148	69.76077
Staff-Weapon	50	67.47639	67.31500
Staff-Weapon	60	64.43714	61.45933
Staff-Weapon	70	52.46447	61.74145
Staff-Weapon	80	68.32275	60.84753
Staff-Weapon	90	61.75538	63.54020
Staff-Weapon	100	60.54248	56.87264
Staff-Weapon	110	48.32005	55.75240
Staff-Weapon	120	58.39466	54.57513
Staff-Weapon	130	57.01067	53.51231
Staff-Weapon	140	45.13159	51.03064
Staff-Weapon	150	50.94966	52.61372
Staff-Weapon	160	61.75990	61.59016
Staff-Weapon	170	72.06092	61.56213
Staff-Weapon	180	50.86556	49.23794
Staff-Weapon	200	24.78733	32.27576
Staff-Weapon	210	21.17438	26.88354
Staff-Weapon	220	34.68890	24.65880
Staff-Weapon	230	18.11311	24.49457
Staff-Weapon	240	20.68171	19.40008
Staff-Weapon	250	19.40541	19.61193
Staff-Weapon	260	18.74867	19.05408
Staff-Weapon	270	19.00816	17.59339
Staff-Weapon	280	15.02334	17.01575

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  4. Create and Populate Table: ACSBV3_aux_dps_curve                                                                   ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:46                                                                                            0600B (v2.0)
                                                                                                                           
ItemLevelBracket	1H-Weapon	2H-Weapon	Staff-Weapon	Ranged-Weapon	Ranged-Thrown	Ranged-Wand
10	86.89440	76.60185	76.44155	98.78925	93.92720	100.09362
20	86.40107	74.99481	74.88585	99.09133	93.65757	100.08556
30	84.72551	74.43863	70.84214	95.19321	NULL	99.43930
40	86.54279	77.51837	69.76077	92.60456	95.94410	97.63644
50	86.07134	79.48603	67.31500	87.55469	92.47294	95.57801
60	83.21421	74.09173	61.45933	87.52906	94.76683	94.79927
70	81.70528	72.79539	61.74145	90.23219	94.89937	94.08515
80	81.19314	74.44602	60.84753	90.95881	97.15648	93.08811
90	81.65743	75.20257	63.54020	90.86487	94.52615	94.59128
100	77.05630	69.17553	56.87264	85.57151	89.23526	92.92199
110	72.81608	61.29950	55.75240	85.31214	87.34012	91.70747
120	67.48498	61.50718	54.57513	86.60972	85.39834	89.13092
130	65.24879	60.50996	53.51231	83.98981	84.28458	88.63540
140	62.63318	63.27631	51.03064	83.96546	84.56709	89.01716
150	61.94990	70.63703	52.61372	80.70211	89.13920	87.91869
160	59.44590	81.33778	61.59016	86.24519	92.88945	90.68095
170	56.19635	77.88668	61.56213	84.74575	89.62968	89.05842
180	50.61707	61.52081	49.23794	78.27788	78.51501	85.11010
190	NULL	NULL	NULL	NULL	NULL	NULL
200	45.08170	44.73208	32.27576	66.84292	70.47051	78.83651
210	44.75497	39.35471	26.88354	61.53553	66.22008	74.52547
220	42.63816	38.23490	24.65880	60.35104	NULL	NULL
230	40.74482	37.74748	24.49457	61.13369	64.69943	72.15134
240	34.37616	35.95355	19.40008	58.90736	62.40000	69.95141
250	33.51989	36.05936	19.61193	59.92366	61.81728	69.64150
260	33.81565	36.18808	19.05408	60.72886	61.67890	69.59554
270	32.27935	36.01139	17.59339	60.41112	NULL	69.81121
280	30.73246	35.57744	17.01575	59.69708	NULL	NULL
290	NULL	NULL	NULL	NULL	NULL	NULL
300	NULL	NULL	NULL	NULL	NULL	NULL

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  5. Apply Monotonic Enforcement to Table: ACSBV3_aux_dps_curve                                                        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:48                                                                                            0600B (v2.0)
                                                                                                                           
ItemLevelBracket	1H-Weapon	2H-Weapon	Staff-Weapon	Ranged-Weapon	Ranged-Thrown	Ranged-Wand
10	86.89440	81.33778	76.44155	99.09133	97.15648	100.09362
20	86.54279	81.33778	74.88585	99.09133	97.15648	100.08556
30	86.54279	81.33778	70.84214	95.19321	97.15648	99.43930
40	86.54279	81.33778	69.76077	92.60456	97.15648	97.63644
50	86.07134	81.33778	67.31500	90.95881	97.15648	95.57801
60	83.21421	81.33778	63.54020	90.95881	97.15648	94.79927
70	81.70528	81.33778	63.54020	90.95881	97.15648	94.59128
80	81.65743	81.33778	63.54020	90.95881	97.15648	94.59128
90	81.65743	81.33778	63.54020	90.86487	94.52615	94.59128
100	77.05630	81.33778	61.59016	86.60972	92.88945	92.92199
110	72.81608	81.33778	61.59016	86.60972	92.88945	91.70747
120	67.48498	81.33778	61.59016	86.60972	92.88945	90.68095
130	65.24879	81.33778	61.59016	86.24519	92.88945	90.68095
140	62.63318	81.33778	61.59016	86.24519	92.88945	90.68095
150	61.94990	81.33778	61.59016	86.24519	92.88945	90.68095
160	59.44590	81.33778	61.59016	86.24519	92.88945	90.68095
170	56.19635	77.88668	61.56213	84.74575	89.62968	89.05842
180	50.61707	61.52081	49.23794	78.27788	78.51501	85.11010
190	45.08170	44.73208	32.27576	66.84292	70.47051	78.83651
200	45.08170	44.73208	32.27576	66.84292	70.47051	78.83651
210	44.75497	39.35471	26.88354	61.53553	66.22008	74.52547
220	42.63816	38.23490	24.65880	61.13369	64.69943	72.15134
230	40.74482	37.74748	24.49457	61.13369	64.69943	72.15134
240	34.37616	36.18808	19.61193	60.72886	62.40000	69.95141
250	33.81565	36.18808	19.61193	60.72886	61.81728	69.81121
260	33.81565	36.18808	19.05408	60.72886	61.67890	69.81121
270	32.27935	36.01139	17.59339	60.41112	61.67890	69.81121
280	30.73246	35.57744	17.01575	59.69708	61.67890	69.59554
290	30.73246	35.57744	17.01575	58.90736	61.67890	69.59554
300	30.73246	35.57744	17.01575	58.90736	61.67890	69.59554

                                                                                                                           
2025-12-19 18:56:49                                                                                            0600B (v2.0)
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
