
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create Generate Chart Procedure: ACSBV3_generate_chart                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           

Procedure Created: ACSBV3_generate_chart

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_aux_armor_general                                                               ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor	280	1432.12829	286.42566	866.94584	33.03847
Major-Armor	290	1432.12829	286.42566	866.94584	33.03847
Major-Armor	300	1432.12829	286.42566	866.94584	33.03847
Moderate-Armor	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor	20	81.41098	16.28220	22.05982	73.80931
Moderate-Armor	30	104.52766	20.90553	28.08212	74.44427
Moderate-Armor	40	152.05774	30.41155	41.63458	73.04397
Moderate-Armor	50	203.35082	40.67016	58.11457	69.98273
Moderate-Armor	60	262.39838	52.47968	81.59912	64.31403
Moderate-Armor	70	305.46777	61.09355	94.82957	64.42458
Moderate-Armor	80	339.61026	67.92205	99.69724	68.12832
Moderate-Armor	90	357.76849	71.55370	101.33247	70.61281
Moderate-Armor	100	394.21251	78.84250	119.50721	65.97301
Moderate-Armor	110	479.79023	95.95805	157.97702	60.74178
Moderate-Armor	120	555.72065	111.14413	187.54119	59.26385
Moderate-Armor	130	626.22057	125.24411	212.75869	58.86674
Moderate-Armor	140	663.34914	132.66983	224.96041	58.97475
Moderate-Armor	150	667.10632	133.42126	224.96041	59.30877
Moderate-Armor	160	711.96418	142.39284	224.96041	63.29684
Moderate-Armor	170	762.39625	152.47925	237.99820	64.06740
Moderate-Armor	180	875.21184	175.04237	309.60812	56.53675
Moderate-Armor	190	875.21184	175.04237	309.60812	56.53675
Moderate-Armor	200	927.39790	185.47958	395.88043	46.85242
Moderate-Armor	210	977.13321	195.42664	464.55809	42.06721
Moderate-Armor	220	993.76522	198.75304	515.17120	38.58000
Moderate-Armor	230	1037.20476	207.44095	565.74621	36.66679
Moderate-Armor	240	1053.56525	210.71305	605.92672	34.77534
Moderate-Armor	250	1093.58171	218.71634	653.16702	33.48551
Moderate-Armor	260	1117.38304	223.47661	702.49774	31.81172
Moderate-Armor	270	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	280	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	290	1144.23276	228.84655	731.32020	31.29225
Moderate-Armor	300	1144.23276	228.84655	731.32020	31.29225
Minor-Armor	10	49.94304	9.98861	12.47715	80.05522
Minor-Armor	20	58.35366	11.67073	15.45055	75.53602
Minor-Armor	30	86.81254	17.36251	23.42005	74.13524
Minor-Armor	40	119.11328	23.82266	33.14296	71.87849
Minor-Armor	50	156.83600	31.36720	46.29596	67.75364
Minor-Armor	60	206.58473	41.31695	66.10492	62.50208
Minor-Armor	70	242.93184	48.58637	77.25287	62.89264
Minor-Armor	80	267.59451	53.51890	79.43110	67.37777
Minor-Armor	90	277.05754	55.41151	79.43110	69.76047
Minor-Armor	100	302.58203	60.51641	88.42813	68.43570
Minor-Armor	110	370.95791	74.19158	122.42042	60.60393
Minor-Armor	120	418.88545	83.77709	144.99494	57.77932
Minor-Armor	130	475.30803	95.06161	167.78196	56.65783
Minor-Armor	140	495.91727	99.18345	173.39788	57.19992
Minor-Armor	150	507.10325	101.42065	173.39788	58.49013
Minor-Armor	160	507.10325	101.42065	173.39788	58.49013
Minor-Armor	170	529.46845	105.89369	173.39788	61.06977
Minor-Armor	180	601.58855	120.31771	231.22020	52.03599
Minor-Armor	190	601.58855	120.31771	231.22020	52.03599
Minor-Armor	200	672.21517	134.44303	308.11258	43.63439
Minor-Armor	210	716.47807	143.29561	368.27201	38.91026
Minor-Armor	220	734.84848	146.96970	411.74092	35.69470
Minor-Armor	230	742.88042	148.57608	444.78997	33.40365
Minor-Armor	240	783.99021	156.79804	481.05661	32.59451
Minor-Armor	250	822.53918	164.50784	519.83224	31.64633
Minor-Armor	260	894.07313	178.81463	573.92014	31.15671
Minor-Armor	270	966.87405	193.37481	622.66421	31.05603
Minor-Armor	280	1015.17560	203.03512	652.12084	31.13459
Minor-Armor	290	1015.17560	203.03512	652.12084	31.13459
Minor-Armor	300	1015.17560	203.03512	652.12084	31.13459
Shield	10	380.02015	76.00403	77.39506	98.20269
Shield	20	475.96581	95.19316	97.35861	97.77580
Shield	30	829.40778	165.88156	170.12044	97.50831
Shield	40	1255.37890	251.07578	256.74317	97.79258
Shield	50	1753.13128	350.62626	358.25603	97.87030
Shield	60	2397.59408	479.51882	492.14182	97.43509
Shield	70	2818.61548	563.72310	576.88607	97.71827
Shield	80	3134.24405	626.84881	641.01687	97.78975
Shield	90	3193.12500	638.62500	652.23306	97.91362
Shield	100	3566.48485	713.29697	735.90647	96.92767
Shield	110	4202.04041	840.40808	873.57591	96.20321
Shield	120	4642.96898	928.59380	966.03591	96.12415
Shield	130	5107.91746	1021.58349	1066.26667	95.80938
Shield	140	5432.13113	1086.42623	1136.91859	95.55884
Shield	150	5859.36923	1171.87385	1239.21859	94.56555
Shield	160	6008.71367	1201.74273	1266.25748	94.90508
Shield	170	6191.83333	1238.36667	1305.65833	94.84615
Shield	180	6653.83333	1330.76667	1417.07833	93.90918
Shield	190	6653.83333	1330.76667	1417.07833	93.90918
Shield	200	7245.55556	1449.11111	1579.66278	91.73547
Shield	210	7696.66667	1539.33333	1714.94611	89.75987
Shield	220	7878.30303	1575.66061	1773.08066	88.86570
Shield	230	8063.30303	1612.66061	1827.12399	88.26224
Shield	240	8293.11784	1658.62357	1892.93140	87.62196
Shield	250	8587.14815	1717.42963	1977.51019	86.84808
Shield	260	8862.61481	1772.52296	2059.30185	86.07398
Shield	270	9004.20000	1800.84000	2098.62500	85.81047
Shield	280	9004.20000	1800.84000	2098.62500	85.81047
Shield	290	9004.20000	1800.84000	2098.62500	85.81047
Shield	300	9004.20000	1800.84000	2098.62500	85.81047
Back	10	16.30625	3.26125	5.66730	57.54504
Back	20	19.27689	3.85538	6.99880	55.08630
Back	30	24.74659	4.94932	9.91953	49.89470
Back	40	31.98113	6.39623	12.93656	49.44305
Back	50	41.77084	8.35417	19.14743	43.63076
Back	60	58.23623	11.64725	27.91629	41.72206
Back	70	68.98085	13.79617	32.81410	42.04342
Back	80	75.51842	15.10368	36.00846	41.94481
Back	90	79.37222	15.87444	36.64354	43.32125
Back	100	92.37863	18.47573	45.24282	40.83682
Back	110	106.31197	21.26239	57.98541	36.66852
Back	120	111.45085	22.29017	66.88541	33.32591
Back	130	111.45085	22.29017	72.12027	30.90694
Back	140	111.45085	22.29017	78.12440	28.53164
Back	150	126.37037	25.27407	86.74821	29.13498
Back	160	129.77778	25.95556	86.74821	29.92057
Back	170	148.57778	29.71556	96.83881	30.68559
Back	180	151.03333	30.20667	124.54667	24.25329
Back	190	151.03333	30.20667	124.54667	24.25329
Back	200	165.90139	33.18028	176.05188	18.84688
Back	210	165.90139	33.18028	214.12354	15.49586
Back	220	174.42361	34.88472	248.90715	14.01515
Back	230	174.77778	34.95556	275.53982	12.68621
Back	240	179.84674	35.96935	299.35977	12.01543
Back	250	180.22048	36.04410	321.61116	11.20735
Back	260	185.80872	37.16174	346.57181	10.72267
Back	270	191.40642	38.28128	383.35686	9.98581
Back	280	191.40642	38.28128	401.26030	9.54026
Back	290	191.40642	38.28128	401.26030	9.54026
Back	300	191.40642	38.28128	401.26030	9.54026

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Create and Populate Table: ACSBV3_aux_armor_cloth                                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:51                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor (Cloth)	10	31.13859	6.22772	9.92778	62.73024
Major-Armor (Cloth)	20	35.77017	7.15403	12.11046	59.07315
Major-Armor (Cloth)	30	46.14471	9.22894	16.97609	54.36434
Major-Armor (Cloth)	40	56.54999	11.31000	21.07800	53.65784
Major-Armor (Cloth)	50	73.37530	14.67506	30.95180	47.41262
Major-Armor (Cloth)	60	101.75676	20.35135	47.44037	42.89880
Major-Armor (Cloth)	70	125.45448	25.09090	59.02893	42.50611
Major-Armor (Cloth)	80	134.15972	26.83194	59.72986	44.92215
Major-Armor (Cloth)	90	134.15972	26.83194	59.72986	44.92215
Major-Armor (Cloth)	100	137.08975	27.41795	68.32258	40.13014
Major-Armor (Cloth)	110	160.20620	32.04124	95.33796	33.60806
Major-Armor (Cloth)	120	199.50923	39.90185	119.62229	33.35653
Major-Armor (Cloth)	130	242.06008	48.41202	140.89248	34.36097
Major-Armor (Cloth)	140	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	150	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	160	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	170	277.99085	55.59817	151.82432	36.62007
Major-Armor (Cloth)	180	277.99085	55.59817	203.13662	27.36984
Major-Armor (Cloth)	190	277.99085	55.59817	203.13662	27.36984
Major-Armor (Cloth)	200	277.99085	55.59817	292.10720	19.03348
Major-Armor (Cloth)	210	287.80072	57.56014	364.28325	15.80093
Major-Armor (Cloth)	220	294.15199	58.83040	427.43909	13.76346
Major-Armor (Cloth)	230	300.81775	60.16355	478.08497	12.58428
Major-Armor (Cloth)	240	310.65212	62.13042	525.90181	11.81407
Major-Armor (Cloth)	250	322.32137	64.46427	575.56097	11.20025
Major-Armor (Cloth)	260	332.65141	66.53028	631.01091	10.54344
Major-Armor (Cloth)	270	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	280	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	290	338.36842	67.67368	658.68158	10.27411
Major-Armor (Cloth)	300	338.36842	67.67368	658.68158	10.27411
Moderate-Armor (Cloth)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Cloth)	20	33.58696	6.71739	12.07772	55.61803
Moderate-Armor (Cloth)	30	38.09719	7.61944	14.50214	52.54011
Moderate-Armor (Cloth)	40	47.80886	9.56177	19.92266	47.99444
Moderate-Armor (Cloth)	50	60.85466	12.17093	28.14820	43.23875
Moderate-Armor (Cloth)	60	84.77479	16.95496	42.14665	40.22849
Moderate-Armor (Cloth)	70	100.59935	20.11987	50.51454	39.82986
Moderate-Armor (Cloth)	80	106.20935	21.24187	50.51454	42.05100
Moderate-Armor (Cloth)	90	106.59848	21.31970	50.51454	42.20508
Moderate-Armor (Cloth)	100	112.96356	22.59271	58.85807	38.38507
Moderate-Armor (Cloth)	110	134.84690	26.96938	85.72818	31.45918
Moderate-Armor (Cloth)	120	165.65933	33.13187	103.74859	31.93477
Moderate-Armor (Cloth)	130	201.45050	40.29010	120.14372	33.53492
Moderate-Armor (Cloth)	140	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	150	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	160	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	170	232.65050	46.53010	127.51033	36.49124
Moderate-Armor (Cloth)	180	232.65050	46.53010	151.58870	30.69497
Moderate-Armor (Cloth)	190	232.65050	46.53010	151.58870	30.69497
Moderate-Armor (Cloth)	200	232.65050	46.53010	246.91576	18.84452
Moderate-Armor (Cloth)	210	239.87454	47.97491	314.63454	15.24782
Moderate-Armor (Cloth)	220	245.64281	49.12856	370.27367	13.26818
Moderate-Armor (Cloth)	230	251.76600	50.35320	417.52797	12.05984
Moderate-Armor (Cloth)	240	258.79973	51.75995	455.80733	11.35566
Moderate-Armor (Cloth)	250	267.29722	53.45944	496.97135	10.75705
Moderate-Armor (Cloth)	260	275.83426	55.16685	543.08444	10.15806
Moderate-Armor (Cloth)	270	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	280	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	290	280.43889	56.08778	568.05167	9.87371
Moderate-Armor (Cloth)	300	280.43889	56.08778	568.05167	9.87371
Minor-Armor (Cloth)	10	18.78130	3.75626	5.97371	62.87985
Minor-Armor (Cloth)	20	22.63490	4.52698	7.59212	59.62735
Minor-Armor (Cloth)	30	30.48824	6.09765	10.80145	56.45214
Minor-Armor (Cloth)	40	38.26152	7.65230	15.35371	49.84007
Minor-Armor (Cloth)	50	48.38523	9.67705	23.04455	41.99279
Minor-Armor (Cloth)	60	65.28745	13.05749	35.40017	36.88539
Minor-Armor (Cloth)	70	74.62664	14.92533	40.86353	36.52482
Minor-Armor (Cloth)	80	78.07357	15.61471	40.86353	38.21185
Minor-Armor (Cloth)	90	78.07357	15.61471	40.86353	38.21185
Minor-Armor (Cloth)	100	84.52363	16.90473	42.11623	40.13828
Minor-Armor (Cloth)	110	101.39450	20.27890	63.89957	31.73558
Minor-Armor (Cloth)	120	117.72474	23.54495	79.52120	29.60839
Minor-Armor (Cloth)	130	139.50871	27.90174	92.19456	30.26398
Minor-Armor (Cloth)	140	154.58952	30.91790	96.03150	32.19558
Minor-Armor (Cloth)	150	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	160	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	170	155.36229	31.07246	96.03150	32.35653
Minor-Armor (Cloth)	180	155.36229	31.07246	135.76153	22.88753
Minor-Armor (Cloth)	190	155.36229	31.07246	135.76153	22.88753
Minor-Armor (Cloth)	200	170.49784	34.09957	202.96205	16.80096
Minor-Armor (Cloth)	210	180.61463	36.12293	259.72652	13.90806
Minor-Armor (Cloth)	220	186.34320	37.26864	306.26271	12.16885
Minor-Armor (Cloth)	230	189.01870	37.80374	343.94972	10.99107
Minor-Armor (Cloth)	240	194.82496	38.96499	374.25675	10.41130
Minor-Armor (Cloth)	250	199.73700	39.94740	405.68083	9.84700
Minor-Armor (Cloth)	260	207.86508	41.57302	446.26879	9.31569
Minor-Armor (Cloth)	270	207.86508	41.57302	451.02990	9.21735
Minor-Armor (Cloth)	280	207.86508	41.57302	456.55588	9.10579
Minor-Armor (Cloth)	290	207.86508	41.57302	456.55588	9.10579
Minor-Armor (Cloth)	300	207.86508	41.57302	456.55588	9.10579

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  4. Create and Populate Table: ACSBV3_aux_armor_leather                                                               ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:59                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor (Leather)	10	70.15687	14.03137	18.08642	77.57959
Major-Armor (Leather)	20	78.66979	15.73396	21.68986	72.54062
Major-Armor (Leather)	30	95.93831	19.18766	28.71975	66.80998
Major-Armor (Leather)	40	116.92465	23.38493	36.70550	63.70961
Major-Armor (Leather)	50	144.11943	28.82389	49.31726	58.44585
Major-Armor (Leather)	60	190.67631	38.13526	71.51150	53.32745
Major-Armor (Leather)	70	222.69066	44.53813	85.26610	52.23428
Major-Armor (Leather)	80	238.08855	47.61771	89.70368	53.08334
Major-Armor (Leather)	90	238.08855	47.61771	89.70368	53.08334
Major-Armor (Leather)	100	253.88220	50.77644	100.21978	50.66509
Major-Armor (Leather)	110	305.44000	61.08800	130.02349	46.98228
Major-Armor (Leather)	120	348.71251	69.74250	155.65299	44.80640
Major-Armor (Leather)	130	390.03632	78.00726	180.65109	43.18117
Major-Armor (Leather)	140	413.67696	82.73539	191.33591	43.24091
Major-Armor (Leather)	150	423.03251	84.60650	191.33591	44.21883
Major-Armor (Leather)	160	424.15026	84.83005	191.33591	44.33567
Major-Armor (Leather)	170	432.93283	86.58657	200.89126	43.10121
Major-Armor (Leather)	180	469.85987	93.97197	266.46101	35.26669
Major-Armor (Leather)	190	469.85987	93.97197	266.46101	35.26669
Major-Armor (Leather)	200	513.80580	102.76116	352.60893	29.14310
Major-Armor (Leather)	210	538.05288	107.61058	428.51756	25.11229
Major-Armor (Leather)	220	552.43060	110.48612	489.00543	22.59405
Major-Armor (Leather)	230	567.02406	113.40481	540.88013	20.96672
Major-Armor (Leather)	240	585.77578	117.15516	588.20460	19.91742
Major-Armor (Leather)	250	605.91228	121.18246	642.96888	18.84733
Major-Armor (Leather)	260	624.21705	124.84341	700.89539	17.81199
Major-Armor (Leather)	270	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	280	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	290	634.11905	126.82381	730.13929	17.36981
Major-Armor (Leather)	300	634.11905	126.82381	730.13929	17.36981
Moderate-Armor (Leather)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Leather)	20	71.56407	14.31281	20.71756	69.08540
Moderate-Armor (Leather)	30	79.45713	15.89143	23.72297	66.98752
Moderate-Armor (Leather)	40	97.49299	19.49860	32.03611	60.86444
Moderate-Armor (Leather)	50	120.93399	24.18680	42.79113	56.52293
Moderate-Armor (Leather)	60	157.55661	31.51132	62.38681	50.50959
Moderate-Armor (Leather)	70	181.92219	36.38444	71.81836	50.66175
Moderate-Armor (Leather)	80	191.72854	38.34571	75.10812	51.05401
Moderate-Armor (Leather)	90	196.39150	39.27830	75.10812	52.29568
Moderate-Armor (Leather)	100	213.12375	42.62475	87.87194	48.50781
Moderate-Armor (Leather)	110	257.59892	51.51978	113.42910	45.42025
Moderate-Armor (Leather)	120	292.17273	58.43455	133.76984	43.68290
Moderate-Armor (Leather)	130	326.00453	65.20091	151.89234	42.92574
Moderate-Armor (Leather)	140	343.35848	68.67170	162.82403	42.17541
Moderate-Armor (Leather)	150	349.49208	69.89842	162.82403	42.92881
Moderate-Armor (Leather)	160	349.49208	69.89842	162.82403	42.92881
Moderate-Armor (Leather)	170	359.49288	71.89858	162.82403	44.15723
Moderate-Armor (Leather)	180	391.45085	78.29017	210.39726	37.21064
Moderate-Armor (Leather)	190	391.45085	78.29017	210.39726	37.21064
Moderate-Armor (Leather)	200	430.02724	86.00545	295.85895	29.06975
Moderate-Armor (Leather)	210	451.24896	90.24979	363.27358	24.84348
Moderate-Armor (Leather)	220	460.89213	92.17843	414.91492	22.21622
Moderate-Armor (Leather)	230	472.08698	94.41740	462.40400	20.41881
Moderate-Armor (Leather)	240	484.68577	96.93715	504.63296	19.20944
Moderate-Armor (Leather)	250	502.51056	100.50211	552.63055	18.18613
Moderate-Armor (Leather)	260	519.12821	103.82564	601.36849	17.26490
Moderate-Armor (Leather)	270	528.50000	105.70000	627.66813	16.84011
Moderate-Armor (Leather)	280	528.50000	105.70000	627.66813	16.84011
Moderate-Armor (Leather)	290	528.50000	105.70000	627.66813	16.84011
Moderate-Armor (Leather)	300	528.50000	105.70000	627.66813	16.84011
Minor-Armor (Leather)	10	43.29604	8.65921	11.42502	75.79164
Minor-Armor (Leather)	20	49.82362	9.96472	14.23536	69.99978
Minor-Armor (Leather)	30	62.79794	12.55959	19.16860	65.52169
Minor-Armor (Leather)	40	76.83027	15.36605	25.26280	60.82481
Minor-Armor (Leather)	50	93.03188	18.60638	34.26939	54.29446
Minor-Armor (Leather)	60	119.25461	23.85092	48.78098	48.89389
Minor-Armor (Leather)	70	137.76010	27.55202	56.58363	48.69256
Minor-Armor (Leather)	80	145.78408	29.15682	56.58363	51.52872
Minor-Armor (Leather)	90	146.74205	29.34841	56.58363	51.86732
Minor-Armor (Leather)	100	160.27906	32.05581	59.41865	53.94907
Minor-Armor (Leather)	110	195.80972	39.16194	85.36301	45.87694
Minor-Armor (Leather)	120	223.59891	44.71978	104.46382	42.80887
Minor-Armor (Leather)	130	246.38035	49.27607	120.38850	40.93088
Minor-Armor (Leather)	140	253.55339	50.71068	123.94106	40.91516
Minor-Armor (Leather)	150	253.55339	50.71068	123.94106	40.91516
Minor-Armor (Leather)	160	253.55339	50.71068	123.94106	40.91516
Minor-Armor (Leather)	170	261.04428	52.20886	123.94106	42.12394
Minor-Armor (Leather)	180	291.85660	58.37132	168.70386	34.59987
Minor-Armor (Leather)	190	291.85660	58.37132	168.70386	34.59987
Minor-Armor (Leather)	200	320.95755	64.19151	239.58588	26.79269
Minor-Armor (Leather)	210	337.83015	67.56603	297.68214	22.69737
Minor-Armor (Leather)	220	348.68006	69.73601	343.47384	20.30315
Minor-Armor (Leather)	230	352.48651	70.49730	378.90236	18.60566
Minor-Armor (Leather)	240	366.60216	73.32043	411.64711	17.81148
Minor-Armor (Leather)	250	376.74312	75.34862	446.39788	16.87925
Minor-Armor (Leather)	260	392.55013	78.51003	488.32671	16.07736
Minor-Armor (Leather)	270	392.55013	78.51003	492.01432	15.95686
Minor-Armor (Leather)	280	392.55013	78.51003	496.14934	15.82387
Minor-Armor (Leather)	290	392.55013	78.51003	496.14934	15.82387
Minor-Armor (Leather)	300	392.55013	78.51003	496.14934	15.82387

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  5. Create and Populate Table: ACSBV3_aux_armor_mail                                                                  ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:08                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor (Mail)	10	153.89897	30.77979	34.76466	88.53758
Major-Armor (Mail)	20	172.25785	34.45157	40.12034	85.87058
Major-Armor (Mail)	30	208.90167	41.78033	50.89299	82.09447
Major-Armor (Mail)	40	246.55077	49.31015	62.79358	78.52737
Major-Armor (Mail)	50	299.19480	59.83896	81.09301	73.79053
Major-Armor (Mail)	60	383.15733	76.63147	112.12656	68.34373
Major-Armor (Mail)	70	446.75981	89.35196	129.94159	68.76317
Major-Armor (Mail)	80	490.63502	98.12700	134.59382	72.90602
Major-Armor (Mail)	90	515.83990	103.16798	135.59434	76.08576
Major-Armor (Mail)	100	565.11741	113.02348	157.67752	71.68015
Major-Armor (Mail)	110	667.48249	133.49650	205.35386	65.00803
Major-Armor (Mail)	120	749.77037	149.95407	238.75897	62.80563
Major-Armor (Mail)	130	842.55212	168.51042	270.46505	62.30395
Major-Armor (Mail)	140	896.58897	179.31779	284.98373	62.92211
Major-Armor (Mail)	150	922.58897	184.51779	284.98373	64.74678
Major-Armor (Mail)	160	934.66304	186.93261	284.98373	65.59413
Major-Armor (Mail)	170	967.39103	193.47821	302.15716	64.03231
Major-Armor (Mail)	180	1057.62180	211.52436	376.32019	56.20861
Major-Armor (Mail)	190	1057.62180	211.52436	376.32019	56.20861
Major-Armor (Mail)	200	1148.57470	229.71494	471.92653	48.67600
Major-Armor (Mail)	210	1202.92132	240.58426	553.38589	43.47495
Major-Armor (Mail)	220	1226.67906	245.33581	615.88914	39.83441
Major-Armor (Mail)	230	1257.59521	251.51904	668.98696	37.59700
Major-Armor (Mail)	240	1295.51664	259.10333	724.48055	35.76401
Major-Armor (Mail)	250	1345.86147	269.17229	781.84038	34.42804
Major-Armor (Mail)	260	1388.20734	277.64147	847.62415	32.75526
Major-Armor (Mail)	270	1410.94737	282.18947	879.36066	32.09030
Major-Armor (Mail)	280	1410.94737	282.18947	879.36066	32.09030
Major-Armor (Mail)	290	1410.94737	282.18947	879.36066	32.09030
Major-Armor (Mail)	300	1410.94737	282.18947	879.36066	32.09030
Moderate-Armor (Mail)	10	0.00000	0.00000	0.00000	0.00000
Moderate-Armor (Mail)	20	151.24965	30.24993	35.80466	84.48601
Moderate-Armor (Mail)	30	165.99549	33.19910	39.98815	83.02235
Moderate-Armor (Mail)	40	201.18942	40.23788	51.12288	78.70816
Moderate-Armor (Mail)	50	243.52510	48.70502	66.40486	73.34557
Moderate-Armor (Mail)	60	310.89842	62.17968	93.19125	66.72266
Moderate-Armor (Mail)	70	370.41140	74.08228	109.63418	67.57225
Moderate-Armor (Mail)	80	403.44584	80.68917	112.43001	71.76836
Moderate-Armor (Mail)	90	431.98856	86.39771	113.88799	75.86200
Moderate-Armor (Mail)	100	465.42287	93.08457	130.99108	71.06176
Moderate-Armor (Mail)	110	557.00968	111.40194	170.89212	65.18846
Moderate-Armor (Mail)	120	624.69668	124.93934	198.90345	62.81406
Moderate-Armor (Mail)	130	699.54668	139.90934	225.20866	62.12432
Moderate-Armor (Mail)	140	736.66821	147.33364	236.00553	62.42805
Moderate-Armor (Mail)	150	760.19444	152.03889	236.15021	64.38228
Moderate-Armor (Mail)	160	760.19444	152.03889	236.15021	64.38228
Moderate-Armor (Mail)	170	793.64444	158.72889	243.29875	65.24032
Moderate-Armor (Mail)	180	865.49380	173.09876	307.88321	56.22221
Moderate-Armor (Mail)	190	865.49380	173.09876	307.88321	56.22221
Moderate-Armor (Mail)	200	957.26880	191.45376	410.78779	46.60649
Moderate-Armor (Mail)	210	1001.15214	200.23043	473.70362	42.26914
Moderate-Armor (Mail)	220	1024.22249	204.84450	528.30570	38.77386
Moderate-Armor (Mail)	230	1049.99842	209.99968	577.96917	36.33406
Moderate-Armor (Mail)	240	1078.67699	215.73540	621.33683	34.72117
Moderate-Armor (Mail)	250	1115.23032	223.04606	671.08547	33.23661
