
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Simple Groups                                                                       ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:50                                                                                            0604A (v1.0)
                                                                                                                           
Group_Name	Item_Count	AVG_Stat_Count
Global	14270	3.4081



GROUP BY Quality
Group_Name	Item_Count	AVG_Stat_Count
Uncommon  	 1632	  1.9063
Rare      	 3737	  2.6901
Epic      	 8890	  3.9862
Legendary 	   11	  2.9091



GROUP BY ItemLevelBracket
Group_Name	Item_Count	AVG_Stat_Count
10 	  235	  1.5064
20 	  451	  1.7871
30 	  442	  2.0475
40 	  482	  2.0415
50 	  663	  2.1991
60 	 1173	  2.2924
70 	  586	  2.4727
80 	  295	  2.3153
90 	  216	  2.2407
100	  346	  2.7630
110	 1135	  2.9233
130	  384	  3.3594
140	  554	  3.4657
150	  483	  3.5673
160	  109	  3.0550
170	   96	  2.7813
180	  228	  3.6404
200	 1100	  3.9855
120	  602	  3.3854
210	  912	  4.4101
220	  463	  4.7127
230	  865	  4.6012
240	  678	  4.7640
250	  877	  4.6933
260	  488	  4.7234
270	  385	  4.7299
280	   22	  4.8182



GROUP BY slot_group
Group_Name	Item_Count	AVG_Stat_Count
1H-Weapon      	 1105	  2.9611
Accessory      	 1327	  3.0490
Major-Armor    	 3074	  3.6321
Minor-Armor    	 4218	  3.4289
2H-Weapon      	  411	  2.8540
Back           	  556	  2.9191
Shield         	  228	  2.7061
Staff-Weapon   	  273	  3.4505
Ranged-Thrown  	   48	  2.8542
Moderate-Armor 	 2712	  3.7895
Ranged-Weapon  	  208	  2.7260
Ranged-Wand    	  110	  3.1909



                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Two Groups                                                                          ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:51                                                                                            0604A (v1.0)
                                                                                                                           

GROUP BY Quality, ItemLevelBracket
Quality	ItemLevel	Item_Count	AVG_Stat_Count
Rare      	2H-Weapon      	  137	  2.3577
Rare      	Moderate-Armor 	  616	  3.1006
Rare      	Shield         	   66	  2.2273
Rare      	Staff-Weapon   	   88	  2.6136
Rare      	Ranged-Weapon  	   74	  1.8108
Rare      	Ranged-Wand    	   35	  2.2000
Rare      	Ranged-Thrown  	   14	  2.1429
Epic      	Accessory      	  807	  3.5713
Epic      	Staff-Weapon   	  168	  4.0655
Epic      	Shield         	  113	  3.2832
Epic      	Major-Armor    	 1977	  4.1700
Epic      	Minor-Armor    	 2575	  4.0404
Epic      	Ranged-Weapon  	  124	  3.3629
Epic      	Moderate-Armor 	 1868	  4.2147
Epic      	1H-Weapon      	  660	  3.6106
Epic      	Back           	  288	  3.7049
Epic      	2H-Weapon      	  210	  3.5381
Epic      	Ranged-Wand    	   73	  3.7260
Epic      	Ranged-Thrown  	   27	  3.6296
Legendary 	1H-Weapon      	    4	  3.2500
Legendary 	2H-Weapon      	    2	  3.0000
Legendary 	Staff-Weapon   	    4	  2.7500
Legendary 	Ranged-Weapon  	    1	  2.0000



GROUP BY slot_group, ItemLevelBracket
Slot_Group	ItemLevel	Item_Count	AVG_Stat_Count
1H-Weapon      	10 	   33	  1.1212
Accessory      	10 	   12	  1.4167
Major-Armor    	10 	   75	  1.6133
Minor-Armor    	10 	   69	  1.6667
2H-Weapon      	10 	   14	  1.2857
Back           	10 	   19	  1.4211
Shield         	10 	    6	  1.6667
Staff-Weapon   	10 	    6	  1.3333
Ranged-Thrown  	10 	    1	  1.0000
1H-Weapon      	20 	   59	  1.5593
2H-Weapon      	20 	   40	  1.6750
Accessory      	20 	   44	  1.7955
Back           	20 	   40	  1.6500
Major-Armor    	20 	   88	  1.9432
Minor-Armor    	20 	  123	  1.8618
Ranged-Thrown  	20 	    1	  1.0000
Shield         	20 	   16	  1.8750
Staff-Weapon   	20 	   14	  1.9286
Moderate-Armor 	20 	   24	  1.7500
1H-Weapon      	30 	   35	  1.6571
2H-Weapon      	30 	   21	  1.8571
Accessory      	30 	   54	  2.0556
Back           	30 	   27	  2.0370
Major-Armor    	30 	   75	  2.1733
Minor-Armor    	30 	  136	  2.0515
Moderate-Armor 	30 	   71	  2.1831
Shield         	30 	   15	  1.9333
Staff-Weapon   	30 	    7	  2.1429
2H-Weapon      	40 	   17	  1.8824
Accessory      	40 	   37	  2.1081
Major-Armor    	40 	   88	  2.0568
Minor-Armor    	40 	  165	  2.1091
Moderate-Armor 	40 	   85	  2.0353
Ranged-Thrown  	40 	    1	  2.0000
Shield         	40 	   18	  2.1111
Back           	40 	   26	  2.2692
Ranged-Weapon  	40 	   11	  1.2727
1H-Weapon      	40 	   24	  1.7500
Back           	50 	   36	  1.8889
Major-Armor    	50 	  112	  2.3482
Minor-Armor    	50 	  268	  2.3619
Moderate-Armor 	50 	   94	  2.2234
1H-Weapon      	50 	   36	  1.5833
2H-Weapon      	50 	   19	  1.8421
Accessory      	50 	   58	  2.0345
Shield         	50 	   16	  2.0000
1H-Weapon      	60 	   62	  1.4355
2H-Weapon      	60 	   26	  1.8462
Accessory      	60 	  121	  2.0165
Back           	60 	   52	  2.0385
Major-Armor    	60 	  257	  2.5097
Minor-Armor    	60 	  402	  2.3831
Moderate-Armor 	60 	  180	  2.6222
Ranged-Thrown  	60 	    2	  1.5000
Ranged-Weapon  	60 	   20	  1.6500
Shield         	60 	   20	  1.7500
Staff-Weapon   	60 	   23	  2.0000
Ranged-Wand    	60 	    8	  1.2500
Major-Armor    	70 	   95	  2.7053
1H-Weapon      	80 	   25	  1.7200
Accessory      	80 	   46	  1.8043
Major-Armor    	80 	   51	  2.8824
Minor-Armor    	80 	   91	  2.3626
1H-Weapon      	90 	   16	  2.3750
2H-Weapon      	90 	    5	  2.2000
Accessory      	90 	   34	  1.9706
Back           	90 	   15	  2.1333
Major-Armor    	90 	   38	  2.4211
Minor-Armor    	90 	   55	  2.2545
Moderate-Armor 	90 	   21	  2.7143
Ranged-Wand    	90 	    7	  1.8571
Ranged-Weapon  	90 	    9	  1.8889
Staff-Weapon   	90 	    9	  2.3333
2H-Weapon      	100	   17	  2.0000
Major-Armor    	100	   80	  3.2875
Accessory      	100	   43	  1.9535
1H-Weapon      	100	   34	  1.8529
Back           	100	   14	  1.4286
Minor-Armor    	100	   66	  2.9697
Ranged-Thrown  	100	    3	  1.6667
Major-Armor    	110	  243	  3.1687
2H-Weapon      	110	   34	  3.1471
Ranged-Weapon  	110	   18	  1.7222
1H-Weapon      	130	   42	  2.5952
Major-Armor    	130	   96	  3.7083
Minor-Armor    	130	  103	  3.3883
Moderate-Armor 	130	   88	  3.7045
Accessory      	130	   15	  2.6667
1H-Weapon      	140	   45	  2.7111
Major-Armor    	140	  127	  3.7795
Minor-Armor    	140	  179	  3.5866
Moderate-Armor 	140	  110	  3.6273
Shield         	140	    8	  2.7500
1H-Weapon      	150	   45	  2.7556
2H-Weapon      	150	   11	  2.7273
Major-Armor    	150	   88	  3.8523
Minor-Armor    	150	  155	  3.9742
Moderate-Armor 	150	   89	  3.6854
Ranged-Thrown  	150	    4	  2.0000
1H-Weapon      	160	   18	  2.1667
Accessory      	160	   11	  2.9091
Minor-Armor    	160	   24	  3.0833
Moderate-Armor 	160	   17	  3.4706
Major-Armor    	160	   19	  3.6316
1H-Weapon      	170	   14	  1.7143
Major-Armor    	170	   22	  3.3182
1H-Weapon      	180	   17	  2.5294
Ranged-Weapon  	20 	    2	  1.0000
Ranged-Weapon  	30 	    1	  1.0000
Ranged-Wand    	40 	    1	  2.0000
Staff-Weapon   	40 	    9	  1.6667
Ranged-Weapon  	50 	   11	  1.4545
Ranged-Wand    	50 	    4	  1.2500
Staff-Weapon   	50 	    9	  2.4444
Back           	70 	   19	  1.9474
Minor-Armor    	70 	  169	  2.7160
Moderate-Armor 	70 	  134	  2.8209
2H-Weapon      	70 	   23	  2.2609
Accessory      	70 	   52	  1.9423
2H-Weapon      	80 	   13	  2.1538
Back           	80 	   11	  1.9091
Moderate-Armor 	80 	   44	  2.7045
Staff-Weapon   	80 	    6	  2.5000
Ranged-Weapon  	80 	    3	  1.0000
Ranged-Thrown  	90 	    3	  1.6667
Shield         	90 	    4	  1.7500
Moderate-Armor 	100	   74	  3.4730
Shield         	100	    4	  2.5000
Staff-Weapon   	100	    5	  2.6000
Ranged-Weapon  	100	    6	  1.8333
Minor-Armor    	110	  320	  2.9625
Ranged-Thrown  	110	    6	  2.0000
1H-Weapon      	110	   84	  2.7500
Accessory      	110	  129	  2.2481
Back           	110	   45	  2.2000
Moderate-Armor 	110	  210	  3.3762
Ranged-Wand    	110	    8	  2.3750
Shield         	110	   18	  2.1111
Staff-Weapon   	110	   20	  3.2000
Shield         	130	    4	  2.5000
Staff-Weapon   	130	    7	  2.8571
Accessory      	140	   45	  2.9333
Back           	140	    7	  3.0000
2H-Weapon      	140	   12	  3.5000
Accessory      	150	   47	  3.0638
Back           	150	   14	  3.2857
Ranged-Wand    	150	    7	  2.5714
Shield         	150	   10	  3.0000
Staff-Weapon   	150	    8	  3.5000
Ranged-Weapon  	160	    5	  2.6000
Staff-Weapon   	160	    3	  3.3333
Back           	160	    5	  3.2000
Ranged-Wand    	160	    2	  3.0000
Shield         	160	    4	  3.0000
Accessory      	170	    9	  3.0000
Minor-Armor    	170	   24	  3.0417
Moderate-Armor 	170	   12	  2.8333
2H-Weapon      	170	    2	  2.5000
Ranged-Thrown  	170	    1	  2.0000
Shield         	170	    3	  3.0000
Staff-Weapon   	170	    3	  2.0000
Ranged-Wand    	170	    2	  1.5000
Back           	170	    2	  4.0000
Ranged-Weapon  	170	    2	  1.5000
Accessory      	180	   20	  3.1500
Back           	180	    9	  3.3333
Major-Armor    	180	   43	  3.8837
Minor-Armor    	180	   79	  3.8861
Moderate-Armor 	180	   43	  3.8605
2H-Weapon      	180	    4	  3.5000
Ranged-Thrown  	180	    2	  3.0000
Ranged-Wand    	180	    4	  3.0000
Ranged-Weapon  	180	    2	  2.5000
Shield         	180	    2	  3.0000
Staff-Weapon   	180	    3	  3.6667
1H-Weapon      	200	   85	  3.8000
2H-Weapon      	200	   22	  3.6364
Accessory      	200	  108	  3.8148
Back           	200	   31	  3.8387
Major-Armor    	200	  232	  4.1078
Minor-Armor    	200	  321	  3.9688
Moderate-Armor 	200	  232	  4.1595
Ranged-Thrown  	200	    5	  3.4000
Ranged-Wand    	200	   11	  3.8182
Ranged-Weapon  	200	   16	  3.3125
Shield         	200	   15	  3.6000
Staff-Weapon   	200	   22	  4.1818
1H-Weapon      	70 	   57	  1.7018
Ranged-Wand    	70 	    4	  1.5000
Ranged-Weapon  	70 	   14	  1.2143
Staff-Weapon   	70 	   13	  2.6154
Shield         	70 	    6	  1.8333
Shield         	80 	    3	  1.6667
Ranged-Wand    	80 	    2	  2.0000
1H-Weapon      	120	   25	  3.0000
2H-Weapon      	120	   12	  3.0833
Accessory      	120	   37	  2.5676
Back           	120	   18	  2.6111
Major-Armor    	120	  135	  3.5259
Minor-Armor    	120	  227	  3.5683
Moderate-Armor 	120	  133	  3.4812
Ranged-Weapon  	120	    3	  1.6667
Staff-Weapon   	120	    3	  2.6667
Ranged-Thrown  	120	    2	  2.0000
Ranged-Wand    	120	    2	  3.0000
Shield         	120	    5	  2.4000
Back           	130	    9	  2.8889
2H-Weapon      	130	   11	  3.0909
Ranged-Wand    	130	    4	  2.0000
Ranged-Weapon  	130	    3	  2.0000
Ranged-Thrown  	130	    2	  3.0000
Ranged-Thrown  	140	    2	  2.5000
Ranged-Wand    	140	    5	  2.6000
Ranged-Weapon  	140	    7	  2.4286
Staff-Weapon   	140	    7	  3.5714
Ranged-Weapon  	150	    5	  2.4000
2H-Weapon      	160	    1	  3.0000
1H-Weapon      	210	   61	  4.3607
2H-Weapon      	210	   19	  4.1579
Accessory      	210	   69	  4.2029
Back           	210	   32	  4.3438
Major-Armor    	210	  214	  4.4720
Minor-Armor    	210	  263	  4.3574
Moderate-Armor 	210	  199	  4.5528
Ranged-Thrown  	210	    2	  4.0000
Ranged-Wand    	210	   10	  4.2000
Ranged-Weapon  	210	   14	  4.2143
Shield         	210	   10	  4.3000
Staff-Weapon   	210	   19	  4.5789
1H-Weapon      	220	    6	  4.1667
2H-Weapon      	220	    1	  4.0000
Accessory      	220	   68	  4.5441
Back           	220	   20	  4.6000
Major-Armor    	220	  102	  4.7059
Minor-Armor    	220	  168	  4.7738
Moderate-Armor 	220	   93	  4.8172
Ranged-Weapon  	220	    1	  3.0000
Shield         	220	    3	  4.6667
Staff-Weapon   	220	    1	  5.0000
1H-Weapon      	230	   86	  4.5349
2H-Weapon      	230	   25	  4.4000
Accessory      	230	   44	  4.5909
Back           	230	   12	  4.6667
Major-Armor    	230	  224	  4.5670
Minor-Armor    	230	  171	  4.6667
Moderate-Armor 	230	  237	  4.6076
Ranged-Thrown  	230	    4	  4.7500
Ranged-Wand    	230	   10	  4.9000
Ranged-Weapon  	230	   17	  4.5294
Shield         	230	   11	  4.1818
Staff-Weapon   	230	   24	  4.9167
1H-Weapon      	240	   56	  4.5893
2H-Weapon      	240	   17	  4.4706
Accessory      	240	   60	  4.5500
Back           	240	   22	  4.6364
Major-Armor    	240	  142	  4.8169
Minor-Armor    	240	  189	  4.8201
Moderate-Armor 	240	  149	  4.8658
Ranged-Thrown  	240	    3	  4.6667
Ranged-Wand    	240	    7	  4.8571
Ranged-Weapon  	240	   12	  4.6667
Shield         	240	    8	  4.2500
Staff-Weapon   	240	   13	  4.9231
1H-Weapon      	250	   57	  4.7018
2H-Weapon      	250	   20	  4.3500
Accessory      	250	   64	  4.5781
Back           	250	   31	  4.6452
Major-Armor    	250	  248	  4.6976
Minor-Armor    	250	  204	  4.7206
Moderate-Armor 	250	  214	  4.7383
Ranged-Thrown  	250	    1	  5.0000
Ranged-Wand    	250	    2	  5.0000
Ranged-Weapon  	250	   11	  4.6364
Shield         	250	   10	  4.2000
Staff-Weapon   	250	   15	  4.9333
1H-Weapon      	260	   41	  4.3171
2H-Weapon      	260	   12	  4.0000
Accessory      	260	   58	  4.6207
Back           	260	   22	  4.5909
Major-Armor    	260	   93	  4.8172
Minor-Armor    	260	  155	  4.8258
Moderate-Armor 	260	   72	  4.9167
Ranged-Thrown  	260	    3	  4.6667
Ranged-Wand    	260	    8	  4.8750
Ranged-Weapon  	260	    8	  4.1250
Shield         	260	    4	  4.5000
Staff-Weapon   	260	   12	  4.7500
Accessory      	270	   39	  4.6410
Major-Armor    	270	   87	  4.8506
Minor-Armor    	270	   84	  4.8333
Moderate-Armor 	270	   87	  4.9080
Shield         	270	    5	  4.0000
1H-Weapon      	270	   37	  4.2703
2H-Weapon      	270	   10	  4.0000
Back           	270	   17	  4.7647
Ranged-Weapon  	270	    6	  4.0000
Staff-Weapon   	270	   11	  4.7273
Ranged-Wand    	270	    2	  5.0000
1H-Weapon      	280	    5	  5.0000
2H-Weapon      	280	    3	  4.3333
Accessory      	280	    3	  4.3333
Back           	280	    1	  5.0000
Minor-Armor    	280	    8	  5.0000
Ranged-Weapon  	280	    1	  5.0000
Staff-Weapon   	280	    1	  5.0000



                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Research Stat Count per Item: Three Groups                                                                        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:51                                                                                            0604A (v1.0)
                                                                                                                           

GROUP BY Quality, slot_group, ItemLevelBracket
Quality	Slot_Group	ItemLevel	Item_Count	AVG_Stat_Count
Uncommon  	1H-Weapon      	10 	   32	  1.0938
Uncommon  	Accessory      	10 	   11	  1.4545
Uncommon  	Major-Armor    	10 	   74	  1.5946
Uncommon  	Minor-Armor    	10 	   66	  1.6515
Uncommon  	2H-Weapon      	10 	   14	  1.2857
Uncommon  	Back           	10 	   17	  1.4118
Uncommon  	Shield         	10 	    6	  1.6667
Uncommon  	Staff-Weapon   	10 	    6	  1.3333
Uncommon  	Ranged-Thrown  	10 	    1	  1.0000
Uncommon  	1H-Weapon      	20 	   26	  1.2692
Uncommon  	2H-Weapon      	20 	   21	  1.6667
Uncommon  	Accessory      	20 	   25	  1.7200
Uncommon  	Back           	20 	   26	  1.5385
Uncommon  	Major-Armor    	20 	   65	  1.8615
Uncommon  	Minor-Armor    	20 	   91	  1.8132
Uncommon  	Ranged-Thrown  	20 	    1	  1.0000
Uncommon  	Shield         	20 	   12	  1.7500
Uncommon  	Staff-Weapon   	20 	    3	  1.6667
Uncommon  	Moderate-Armor 	20 	   18	  1.8333
Uncommon  	1H-Weapon      	30 	    7	  1.2857
Uncommon  	2H-Weapon      	30 	   10	  1.8000
Uncommon  	Accessory      	30 	   26	  1.9615
Uncommon  	Back           	30 	   18	  2.0556
Uncommon  	Major-Armor    	30 	   53	  2.0377
Uncommon  	Minor-Armor    	30 	   80	  1.9625
Uncommon  	Moderate-Armor 	30 	   51	  2.1176
Uncommon  	Shield         	30 	   10	  2.1000
Uncommon  	Staff-Weapon   	30 	    1	  1.0000
Uncommon  	2H-Weapon      	40 	    3	  1.6667
Uncommon  	Accessory      	40 	   14	  2.0000
Uncommon  	Major-Armor    	40 	   68	  1.9853
Uncommon  	Minor-Armor    	40 	  100	  2.0100
Uncommon  	Moderate-Armor 	40 	   60	  2.0500
Uncommon  	Ranged-Thrown  	40 	    1	  2.0000
Uncommon  	Shield         	40 	    8	  2.1250
Uncommon  	Back           	40 	   16	  2.1875
Uncommon  	Ranged-Weapon  	40 	    1	  1.0000
Uncommon  	1H-Weapon      	40 	    7	  1.2857
Uncommon  	Back           	50 	   15	  2.2000
Uncommon  	Major-Armor    	50 	   53	  2.0566
Uncommon  	Minor-Armor    	50 	   89	  2.1573
Uncommon  	Moderate-Armor 	50 	   44	  2.1591
Uncommon  	1H-Weapon      	50 	    4	  1.7500
Uncommon  	2H-Weapon      	50 	    4	  1.2500
Uncommon  	Accessory      	50 	   16	  2.0000
Uncommon  	Shield         	50 	    8	  2.3750
Uncommon  	1H-Weapon      	60 	    4	  1.5000
Uncommon  	2H-Weapon      	60 	    2	  2.0000
Uncommon  	Accessory      	60 	   18	  2.0000
Uncommon  	Back           	60 	    5	  1.8000
Uncommon  	Major-Armor    	60 	   39	  2.1026
Uncommon  	Minor-Armor    	60 	   35	  1.9429
Uncommon  	Moderate-Armor 	60 	   25	  2.1200
Uncommon  	Ranged-Thrown  	60 	    1	  1.0000
Uncommon  	Ranged-Weapon  	60 	    4	  1.7500
Uncommon  	Shield         	60 	    4	  2.0000
Uncommon  	Staff-Weapon   	60 	    2	  1.0000
Uncommon  	Ranged-Wand    	60 	    1	  1.0000
Uncommon  	Major-Armor    	70 	    1	  2.0000
Uncommon  	1H-Weapon      	80 	    1	  1.0000
Uncommon  	Accessory      	80 	    2	  1.0000
Uncommon  	Major-Armor    	80 	    1	  1.0000
Uncommon  	Minor-Armor    	80 	    3	  2.0000
Uncommon  	1H-Weapon      	90 	    3	  1.6667
Uncommon  	2H-Weapon      	90 	    2	  1.5000
Uncommon  	Accessory      	90 	    6	  1.5000
Uncommon  	Back           	90 	    3	  1.6667
Uncommon  	Major-Armor    	90 	   11	  1.8182
Uncommon  	Minor-Armor    	90 	   24	  1.6667
Uncommon  	Moderate-Armor 	90 	    7	  1.7143
Uncommon  	Ranged-Wand    	90 	    1	  1.0000
Uncommon  	Ranged-Weapon  	90 	    3	  1.6667
Uncommon  	Staff-Weapon   	90 	    1	  2.0000
Uncommon  	2H-Weapon      	100	    3	  1.6667
Uncommon  	Major-Armor    	100	    6	  1.6667
Uncommon  	Accessory      	100	    1	  1.0000
Uncommon  	1H-Weapon      	100	    6	  1.5000
Uncommon  	Back           	100	    1	  1.0000
Uncommon  	Minor-Armor    	100	    2	  1.0000
Uncommon  	Ranged-Thrown  	100	    2	  1.0000
Uncommon  	Major-Armor    	110	    2	  1.0000
Uncommon  	2H-Weapon      	110	    2	  3.0000
Uncommon  	Ranged-Weapon  	110	    1	  1.0000
Uncommon  	1H-Weapon      	130	    6	  1.0000
Uncommon  	Major-Armor    	130	    5	  2.8000
Uncommon  	Minor-Armor    	130	    8	  3.1250
Uncommon  	Moderate-Armor 	130	    1	  3.0000
Uncommon  	Accessory      	130	    4	  3.0000
Uncommon  	1H-Weapon      	140	    4	  1.5000
Uncommon  	Major-Armor    	140	    7	  3.0000
Uncommon  	Minor-Armor    	140	   13	  3.0000
Uncommon  	Moderate-Armor 	140	   10	  3.0000
Uncommon  	Shield         	140	    1	  3.0000
Uncommon  	1H-Weapon      	150	    7	  1.1429
Uncommon  	2H-Weapon      	150	    1	  2.0000
Uncommon  	Major-Armor    	150	    4	  3.0000
Uncommon  	Minor-Armor    	150	   12	  2.8333
Uncommon  	Moderate-Armor 	150	    9	  3.0000
Uncommon  	Ranged-Thrown  	150	    1	  2.0000
Uncommon  	1H-Weapon      	160	    4	  1.0000
Uncommon  	Accessory      	160	    2	  3.0000
Uncommon  	Minor-Armor    	160	    2	  3.0000
Uncommon  	Moderate-Armor 	160	    3	  3.3333
Uncommon  	Major-Armor    	160	    1	  4.0000
Uncommon  	1H-Weapon      	170	    6	  1.0000
Uncommon  	Major-Armor    	170	    1	  4.0000
Uncommon  	1H-Weapon      	180	    3	  1.0000
Rare      	1H-Weapon      	10 	    1	  2.0000
Rare      	Back           	10 	    2	  1.5000
Rare      	Major-Armor    	10 	    1	  3.0000
Rare      	Minor-Armor    	10 	    3	  2.0000
Rare      	Accessory      	10 	    1	  1.0000
Rare      	1H-Weapon      	20 	   33	  1.7879
Rare      	2H-Weapon      	20 	   19	  1.6842
Rare      	Accessory      	20 	   19	  1.8947
Rare      	Back           	20 	   14	  1.8571
Rare      	Minor-Armor    	20 	   32	  2.0000
Rare      	Moderate-Armor 	20 	    6	  1.5000
Rare      	Shield         	20 	    4	  2.2500
Rare      	Major-Armor    	20 	   23	  2.1739
Rare      	Staff-Weapon   	20 	   11	  2.0000
Rare      	Ranged-Weapon  	20 	    2	  1.0000
Rare      	1H-Weapon      	30 	   28	  1.7500
Rare      	Accessory      	30 	   27	  2.1852
Rare      	Back           	30 	    9	  2.0000
Rare      	Major-Armor    	30 	   22	  2.5000
Rare      	Minor-Armor    	30 	   56	  2.1786
Rare      	Moderate-Armor 	30 	   20	  2.3500
Rare      	Shield         	30 	    5	  1.6000
Rare      	Staff-Weapon   	30 	    6	  2.3333
Rare      	Ranged-Weapon  	30 	    1	  1.0000
Rare      	2H-Weapon      	30 	   11	  1.9091
Rare      	1H-Weapon      	40 	   17	  1.9412
Rare      	2H-Weapon      	40 	   14	  1.9286
Rare      	Accessory      	40 	   21	  2.1905
Rare      	Back           	40 	   10	  2.4000
