
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Master Curve Table: ACSBV3_0503A_curve_master                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:22                                                                                            0503A (v1.0)
                                                                                                                           
ItemLevel	ItemLevelBracket	Poor	Common	Uncommon	Rare	Epic	Legendary
37	30	0.00000	23.47500	30.74852	39.15862	NULL	NULL
38	30	0.00000	NULL	32.16917	40.99844	NULL	NULL
39	30	0.00000	NULL	32.76573	42.28592	NULL	NULL
40	40	0.00000	24.58699	33.64358	42.88719	36.93060	NULL
41	40	0.00000	NULL	35.03316	44.52325	39.57883	NULL
42	40	0.00000	NULL	36.75731	45.86605	44.84446	NULL
43	40	0.00000	NULL	38.18908	47.24410	46.73541	NULL
44	40	0.00000	27.59684	39.46223	47.40463	55.81199	NULL
45	40	0.00000	28.12405	40.70254	48.11398	58.80332	NULL
46	40	0.00000	32.67691	42.06264	48.83731	60.58966	NULL
47	40	0.00000	33.64792	43.01479	49.81008	64.65072	NULL
48	40	0.00000	NULL	43.31066	49.81008	64.65072	NULL
49	40	0.00000	NULL	43.89506	50.26408	64.65072	NULL
50	50	0.00000	37.73814	44.97053	51.54198	64.65072	NULL
51	50	0.00000	NULL	47.04863	55.26483	64.65072	NULL
52	50	0.00000	NULL	48.38759	56.75355	64.65072	NULL
53	50	0.00000	NULL	48.51300	58.04461	64.65072	NULL
54	50	0.00000	NULL	48.51300	58.40114	64.65072	NULL
55	50	0.00000	40.69394	48.68827	59.73884	64.65072	NULL
56	50	0.00000	NULL	50.69874	60.02128	64.65072	NULL
57	50	0.00000	NULL	52.03427	61.21932	65.12937	NULL
58	50	0.00000	NULL	52.14291	61.55092	68.50902	NULL
59	50	0.00000	NULL	52.14291	64.43199	72.44435	NULL
60	60	0.00000	NULL	52.14291	65.45773	72.44435	NULL
61	60	0.00000	NULL	52.75799	67.18677	72.44435	NULL
62	60	0.00000	NULL	53.66726	67.69100	72.44435	NULL
63	60	0.00000	NULL	56.48178	68.09519	72.44435	NULL
64	60	0.00000	NULL	59.80018	68.18552	74.88614	NULL
65	60	0.00000	NULL	66.73082	70.31548	85.07260	NULL
66	60	0.00000	NULL	NULL	70.98102	91.15479	NULL
67	60	0.00000	NULL	NULL	NULL	91.15479	NULL
68	60	0.00000	NULL	NULL	70.98102	91.15479	NULL
69	60	0.00000	42.75003	NULL	NULL	91.15479	NULL
70	70	0.00000	46.66655	NULL	70.98102	91.15479	NULL
71	70	0.00000	46.66655	NULL	72.73440	92.42994	NULL
72	70	0.00000	49.61440	NULL	NULL	97.49462	NULL
73	70	0.00000	NULL	NULL	81.12333	103.91645	NULL
74	70	0.00000	NULL	NULL	88.15621	103.91645	NULL
75	70	0.00000	49.61440	NULL	NULL	104.62451	NULL
76	70	0.00000	NULL	78.01296	NULL	104.62451	68.98266
77	70	0.00000	NULL	NULL	NULL	104.62451	NULL
78	70	0.00000	NULL	NULL	NULL	104.62451	NULL
79	70	0.00000	NULL	NULL	NULL	104.62451	NULL
80	80	0.00000	53.17109	80.74012	89.10736	104.62451	80.44288
81	80	0.00000	NULL	86.21895	NULL	104.62451	NULL
82	80	0.00000	NULL	NULL	94.96167	NULL	NULL
83	80	0.00000	NULL	86.21895	NULL	104.62451	NULL
84	80	0.00000	NULL	86.21895	NULL	104.62451	NULL
85	80	0.00000	56.92547	NULL	94.96167	108.54331	NULL
86	80	0.00000	NULL	NULL	NULL	111.10945	NULL
87	80	0.00000	NULL	86.21895	NULL	NULL	NULL
88	80	0.00000	NULL	NULL	96.28245	111.82436	NULL
89	80	0.00000	NULL	NULL	NULL	111.82436	NULL
90	90	0.00000	67.44186	86.21895	NULL	111.82436	87.91394
91	90	0.00000	NULL	NULL	96.28245	NULL	NULL
92	90	0.00000	NULL	NULL	NULL	113.76239	NULL
93	90	0.00000	NULL	86.21895	NULL	NULL	NULL
94	90	0.00000	NULL	NULL	100.90888	NULL	NULL
95	90	0.00000	NULL	NULL	NULL	118.73696	NULL
96	90	0.00000	NULL	86.21895	NULL	NULL	NULL
97	90	0.00000	NULL	NULL	109.24790	NULL	NULL
98	90	0.00000	NULL	NULL	NULL	NULL	NULL
99	90	0.00000	NULL	86.50521	NULL	NULL	NULL
100	100	0.00000	NULL	NULL	128.49350	122.86945	135.31830
101	100	0.00000	NULL	NULL	128.49350	NULL	NULL
102	100	0.00000	NULL	86.50521	128.49350	NULL	NULL
103	100	0.00000	NULL	86.50521	128.49350	NULL	NULL
104	100	0.00000	NULL	NULL	NULL	NULL	NULL
105	100	0.00000	NULL	86.50521	NULL	128.68217	NULL
106	100	0.00000	NULL	NULL	128.49350	NULL	NULL
107	100	0.00000	NULL	NULL	NULL	137.57689	NULL
108	100	0.00000	NULL	93.81943	128.49350	NULL	NULL
109	100	0.00000	NULL	NULL	128.49350	NULL	NULL
110	110	0.00000	NULL	NULL	128.49350	158.39656	NULL
111	110	0.00000	NULL	96.58959	NULL	NULL	NULL
112	110	0.00000	NULL	NULL	128.49350	NULL	NULL
113	110	0.00000	NULL	NULL	128.49350	159.64724	NULL
114	110	0.00000	NULL	99.44456	128.49350	NULL	NULL
115	110	0.00000	72.25243	NULL	128.81831	164.20858	NULL
116	110	0.00000	NULL	NULL	NULL	NULL	NULL
117	110	0.00000	NULL	102.13169	NULL	NULL	NULL
118	110	0.00000	NULL	NULL	NULL	NULL	NULL
119	110	0.00000	NULL	NULL	NULL	NULL	NULL
120	120	0.00000	NULL	110.54562	NULL	170.79147	NULL
121	120	0.00000	NULL	NULL	NULL	NULL	NULL
122	120	0.00000	NULL	NULL	NULL	NULL	NULL
123	120	0.00000	NULL	NULL	NULL	171.74139	NULL
124	120	0.00000	NULL	NULL	NULL	NULL	NULL
125	120	0.00000	NULL	NULL	NULL	180.98353	NULL
126	120	0.00000	NULL	NULL	NULL	180.98353	NULL
127	120	0.00000	NULL	NULL	NULL	181.01911	NULL
128	120	0.00000	NULL	NULL	NULL	181.01911	NULL
129	120	0.00000	NULL	NULL	NULL	NULL	NULL
130	130	0.00000	NULL	121.04309	162.83538	181.01911	NULL
131	130	0.00000	NULL	NULL	NULL	NULL	NULL
132	130	0.00000	NULL	NULL	NULL	181.01911	NULL
133	130	0.00000	NULL	NULL	NULL	181.01911	NULL
134	130	0.00000	NULL	132.53019	173.95791	199.74874	NULL
135	130	0.00000	NULL	NULL	NULL	NULL	NULL
136	130	0.00000	NULL	NULL	NULL	199.74874	NULL
137	130	0.00000	NULL	NULL	NULL	NULL	NULL
138	130	0.00000	NULL	139.78390	194.78015	199.74874	NULL
139	130	0.00000	NULL	NULL	NULL	NULL	NULL
140	140	0.00000	NULL	NULL	NULL	NULL	NULL
141	140	0.00000	NULL	NULL	NULL	221.07680	NULL
142	140	0.00000	NULL	147.66339	194.78015	NULL	NULL
143	140	0.00000	NULL	NULL	NULL	221.07680	NULL
144	140	0.00000	NULL	NULL	NULL	NULL	NULL
145	140	0.00000	NULL	147.66339	205.82857	221.07680	NULL
146	140	0.00000	NULL	147.66339	205.82857	221.07680	NULL
147	140	0.00000	NULL	NULL	NULL	NULL	NULL
148	140	0.00000	NULL	NULL	NULL	NULL	NULL
149	140	0.00000	NULL	NULL	NULL	NULL	NULL
150	150	0.00000	NULL	147.66339	205.82857	NULL	NULL
151	150	0.00000	NULL	147.66339	NULL	221.07680	NULL
152	150	0.00000	NULL	NULL	NULL	NULL	NULL
153	150	0.00000	NULL	NULL	NULL	NULL	NULL
154	150	0.00000	NULL	147.66339	205.82857	251.23699	NULL
155	150	0.00000	NULL	150.52734	205.82857	NULL	NULL
156	150	0.00000	NULL	NULL	NULL	272.37429	192.91220
157	150	0.00000	NULL	NULL	NULL	NULL	NULL
158	150	0.00000	NULL	153.05836	207.94578	NULL	NULL
159	150	0.00000	NULL	NULL	210.96250	276.62292	NULL
160	160	0.00000	NULL	NULL	NULL	NULL	NULL
161	160	0.00000	NULL	NULL	NULL	NULL	NULL
162	160	0.00000	NULL	157.19382	215.63654	NULL	NULL
163	160	0.00000	NULL	NULL	228.31678	NULL	NULL
164	160	0.00000	NULL	NULL	NULL	287.64940	450.95635
165	160	0.00000	NULL	NULL	NULL	NULL	NULL
166	160	0.00000	NULL	159.55024	231.95568	NULL	NULL
167	160	0.00000	NULL	NULL	235.95178	NULL	NULL
168	160	0.00000	NULL	NULL	NULL	NULL	NULL
169	160	0.00000	NULL	NULL	NULL	NULL	NULL
170	170	0.00000	NULL	161.27869	235.95178	NULL	NULL
171	170	0.00000	NULL	NULL	249.14851	NULL	NULL
172	170	0.00000	NULL	NULL	NULL	NULL	NULL
173	170	0.00000	NULL	NULL	NULL	NULL	NULL
174	170	0.00000	NULL	165.26441	253.75793	NULL	NULL
175	170	0.00000	NULL	NULL	262.94413	NULL	NULL
176	170	0.00000	NULL	NULL	NULL	NULL	NULL
177	170	0.00000	NULL	NULL	NULL	NULL	NULL
178	170	0.00000	NULL	168.79835	NULL	NULL	NULL
179	170	0.00000	NULL	NULL	262.94413	NULL	NULL
180	180	0.00000	NULL	NULL	NULL	NULL	NULL
181	180	0.00000	NULL	NULL	NULL	NULL	NULL
182	180	0.00000	NULL	182.61219	NULL	NULL	NULL
183	180	0.00000	NULL	NULL	271.55484	NULL	NULL
184	180	0.00000	NULL	NULL	NULL	NULL	NULL
185	180	0.00000	NULL	NULL	NULL	NULL	NULL
186	180	0.00000	NULL	NULL	NULL	NULL	NULL
187	180	0.00000	NULL	189.54480	290.89186	NULL	NULL
188	180	0.00000	NULL	NULL	NULL	NULL	NULL
189	180	0.00000	NULL	NULL	NULL	NULL	NULL
190	190	0.00000	NULL	NULL	NULL	NULL	NULL
191	190	0.00000	NULL	NULL	NULL	NULL	NULL
192	190	0.00000	NULL	NULL	NULL	NULL	NULL
193	190	0.00000	NULL	NULL	NULL	NULL	NULL
194	190	0.00000	NULL	NULL	NULL	NULL	NULL
195	190	0.00000	NULL	NULL	NULL	NULL	NULL
196	190	0.00000	NULL	NULL	NULL	NULL	NULL
197	190	0.00000	NULL	NULL	NULL	NULL	NULL
198	190	0.00000	NULL	NULL	NULL	NULL	NULL
199	190	0.00000	NULL	NULL	NULL	NULL	NULL
200	200	0.00000	NULL	NULL	308.84901	341.31504	NULL
201	200	0.00000	NULL	NULL	NULL	NULL	NULL
202	200	0.00000	NULL	NULL	NULL	NULL	NULL
203	200	0.00000	NULL	NULL	NULL	NULL	NULL
204	200	0.00000	NULL	NULL	NULL	NULL	NULL
205	200	0.00000	NULL	NULL	NULL	NULL	NULL
206	200	0.00000	NULL	NULL	NULL	393.66016	NULL
207	200	0.00000	NULL	NULL	NULL	NULL	NULL
208	200	0.00000	NULL	NULL	NULL	NULL	NULL
209	200	0.00000	NULL	NULL	NULL	NULL	NULL
210	210	0.00000	NULL	NULL	NULL	NULL	NULL
211	210	0.00000	NULL	NULL	NULL	NULL	NULL
212	210	0.00000	NULL	NULL	NULL	NULL	NULL
213	210	0.00000	NULL	NULL	NULL	427.43925	NULL
214	210	0.00000	NULL	NULL	NULL	NULL	NULL
215	210	0.00000	NULL	NULL	NULL	NULL	NULL
216	210	0.00000	NULL	NULL	NULL	NULL	NULL
217	210	0.00000	NULL	NULL	NULL	NULL	NULL
218	210	0.00000	NULL	NULL	NULL	NULL	NULL
219	210	0.00000	NULL	NULL	NULL	451.20188	NULL
220	220	0.00000	NULL	NULL	NULL	NULL	NULL
221	220	0.00000	NULL	NULL	NULL	NULL	NULL
222	220	0.00000	NULL	NULL	NULL	NULL	NULL
223	220	0.00000	NULL	NULL	NULL	NULL	NULL
224	220	0.00000	NULL	NULL	NULL	NULL	NULL
225	220	0.00000	NULL	NULL	NULL	NULL	NULL
226	220	0.00000	NULL	NULL	NULL	473.89654	NULL
227	220	0.00000	NULL	NULL	NULL	NULL	NULL
228	220	0.00000	NULL	NULL	NULL	NULL	NULL
229	220	0.00000	NULL	NULL	NULL	NULL	NULL
230	230	0.00000	NULL	NULL	NULL	NULL	NULL
231	230	0.00000	NULL	NULL	NULL	NULL	NULL
232	230	0.00000	NULL	NULL	NULL	507.08615	NULL
233	230	0.00000	NULL	NULL	NULL	NULL	NULL
234	230	0.00000	NULL	NULL	NULL	NULL	NULL
235	230	0.00000	NULL	NULL	NULL	NULL	NULL
236	230	0.00000	NULL	NULL	NULL	NULL	NULL
237	230	0.00000	NULL	NULL	NULL	NULL	NULL
238	230	0.00000	NULL	NULL	NULL	NULL	NULL
239	230	0.00000	NULL	NULL	NULL	533.51169	NULL
240	240	0.00000	NULL	NULL	NULL	NULL	NULL
241	240	0.00000	NULL	NULL	NULL	NULL	NULL
242	240	0.00000	NULL	NULL	NULL	NULL	NULL
243	240	0.00000	NULL	NULL	NULL	NULL	NULL
244	240	0.00000	NULL	NULL	NULL	NULL	NULL
245	240	0.00000	NULL	NULL	NULL	562.94015	641.66678
246	240	0.00000	NULL	NULL	NULL	NULL	NULL
247	240	0.00000	NULL	NULL	NULL	NULL	NULL
248	240	0.00000	NULL	NULL	NULL	NULL	NULL
249	240	0.00000	NULL	NULL	NULL	NULL	NULL
250	250	0.00000	NULL	NULL	NULL	NULL	NULL
251	250	0.00000	NULL	NULL	NULL	640.51688	NULL
252	250	0.00000	NULL	NULL	NULL	661.15926	NULL
253	250	0.00000	NULL	NULL	NULL	NULL	NULL
254	250	0.00000	NULL	NULL	NULL	NULL	NULL
255	250	0.00000	NULL	NULL	NULL	NULL	NULL
256	250	0.00000	NULL	NULL	NULL	NULL	NULL
257	250	0.00000	NULL	NULL	NULL	NULL	NULL
258	250	0.00000	NULL	NULL	NULL	759.28957	NULL
259	250	0.00000	NULL	NULL	NULL	759.28957	NULL
260	260	0.00000	NULL	NULL	NULL	NULL	NULL
261	260	0.00000	NULL	NULL	NULL	NULL	NULL
262	260	0.00000	NULL	NULL	NULL	NULL	NULL
263	260	0.00000	NULL	NULL	NULL	NULL	NULL
264	260	0.00000	NULL	NULL	NULL	789.99248	NULL
265	260	0.00000	NULL	NULL	NULL	NULL	NULL
266	260	0.00000	NULL	NULL	NULL	NULL	NULL
267	260	0.00000	NULL	NULL	NULL	NULL	NULL
268	260	0.00000	NULL	NULL	NULL	789.99248	NULL
269	260	0.00000	NULL	NULL	NULL	NULL	NULL
270	270	0.00000	NULL	NULL	NULL	789.99248	NULL
271	270	0.00000	NULL	NULL	NULL	789.99248	NULL
272	270	0.00000	NULL	NULL	NULL	800.42101	NULL
273	270	0.00000	NULL	NULL	NULL	NULL	NULL
274	270	0.00000	NULL	NULL	NULL	NULL	NULL
275	270	0.00000	NULL	NULL	NULL	NULL	NULL
276	270	0.00000	NULL	NULL	NULL	NULL	NULL
277	270	0.00000	NULL	NULL	NULL	835.32161	NULL
278	270	0.00000	NULL	NULL	NULL	NULL	NULL
279	270	0.00000	NULL	NULL	NULL	NULL	NULL
280	280	0.00000	NULL	NULL	NULL	NULL	NULL
281	280	0.00000	NULL	NULL	NULL	NULL	NULL
282	280	0.00000	NULL	NULL	NULL	NULL	NULL
283	280	0.00000	NULL	NULL	NULL	NULL	NULL
284	280	0.00000	NULL	NULL	NULL	835.32161	824.42766
285	280	0.00000	NULL	NULL	NULL	NULL	NULL
286	280	0.00000	NULL	NULL	NULL	NULL	NULL
287	280	0.00000	NULL	NULL	NULL	NULL	NULL
288	280	0.00000	NULL	NULL	NULL	NULL	NULL
289	280	0.00000	NULL	NULL	NULL	NULL	NULL
290	290	0.00000	NULL	NULL	NULL	NULL	NULL
291	290	0.00000	NULL	NULL	NULL	NULL	NULL
292	290	0.00000	NULL	NULL	NULL	NULL	NULL
293	290	0.00000	NULL	NULL	NULL	NULL	NULL
294	290	0.00000	NULL	NULL	NULL	NULL	NULL
295	290	0.00000	NULL	NULL	NULL	NULL	NULL
296	290	0.00000	NULL	NULL	NULL	NULL	NULL
297	290	0.00000	NULL	NULL	NULL	NULL	NULL
298	290	0.00000	NULL	NULL	NULL	NULL	NULL
299	290	0.00000	NULL	NULL	NULL	NULL	NULL
300	300	0.00000	NULL	NULL	NULL	NULL	NULL

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Curve Bracket Table: ACSBV3_0503A_curve_bracket                                               ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:24                                                                                            0503A (v1.0)
                                                                                                                           
ItemLevelBracket	Poor	Poor_Slope	Common	Common_Slope	Uncommon	Uncommon_Slope	Rare	Rare_Slope	Epic	Epic_Slope	Legendary	Legendary_Slope
10	0.00000	0.00000	9.05037	0.53390	13.99905	0.75832	22.35640	0.43454	NULL	NULL	NULL	NULL
20	0.00000	0.00000	14.38938	0.84941	21.58221	0.73981	26.70178	1.03513	NULL	NULL	NULL	NULL
30	0.00000	0.00000	22.88347	0.64431	28.98032	1.06268	37.05310	1.04230	32.99517	2.07295	NULL	NULL
40	0.00000	0.00000	29.32654	0.98895	39.60711	0.97069	47.47608	1.12208	53.72464	1.21391	NULL	NULL
50	0.00000	0.00000	39.21604	0.35340	49.31399	0.76162	58.69685	0.99149	65.86378	1.55718	NULL	NULL
60	0.00000	0.00000	42.75003	0.53905	56.93016	2.10828	68.61172	0.96370	81.43553	1.97680	NULL	NULL
70	0.00000	0.00000	48.14048	0.69078	78.01296	0.71102	78.24874	1.55796	101.20348	0.65215	68.98266	1.14602
80	0.00000	0.00000	55.04828	1.23936	85.12318	0.11673	93.82829	0.83181	107.72494	0.70496	80.44288	0.74711
90	0.00000	0.00000	67.44186	NULL	86.29052	0.20433	102.14641	2.63471	114.77457	1.49349	87.91394	4.74044
100	0.00000	0.00000	NULL	NULL	88.33377	1.10548	128.49350	0.00650	129.70950	3.10413	135.31830	NULL
110	0.00000	0.00000	72.25243	NULL	99.38861	1.11570	128.55846	NULL	160.75079	1.70056	NULL	NULL
120	0.00000	0.00000	NULL	NULL	110.54562	2.05734	NULL	NULL	177.75636	1.26276	NULL	NULL
130	0.00000	0.00000	NULL	NULL	131.11906	1.65443	177.19115	2.49546	190.38393	3.06929	NULL	NULL
140	0.00000	0.00000	NULL	NULL	147.66339	0.16518	202.14576	0.51330	221.07680	3.42510	NULL	NULL
150	0.00000	0.00000	NULL	NULL	149.31517	0.90569	207.27880	2.06864	255.32775	3.23217	192.91220	25.80442
160	0.00000	0.00000	NULL	NULL	158.37203	0.67418	227.96520	2.49841	287.64940	NULL	450.95635	NULL
170	0.00000	0.00000	NULL	NULL	165.11382	2.09647	252.94930	2.82741	NULL	NULL	NULL	NULL
180	0.00000	0.00000	NULL	NULL	186.07850	NULL	281.22335	NULL	NULL	NULL	NULL	NULL
190	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
200	0.00000	0.00000	NULL	NULL	NULL	NULL	308.84901	NULL	367.48760	7.18330	NULL	NULL
210	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	439.32057	3.45760	NULL	NULL
220	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	473.89654	4.64024	NULL	NULL
230	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	520.29892	4.26412	NULL	NULL
240	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	562.94015	14.21237	641.66678	NULL
250	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	705.06382	8.49287	NULL	NULL
260	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	789.99248	1.39394	NULL	NULL
270	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	803.93190	3.13897	NULL	NULL
280	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	835.32161	NULL	824.42766	NULL
290	0.00000	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
300	0.00000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL

                                                                                                                           
2025-12-19 18:56:25                                                                                            0503A (v1.0)
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
