
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Copy Master Curve Table: ACSBV3_ref_curve_master FROM ACSBV3_0503A_curve_master                                   ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:28                                                                                            0503C (v1.0)
                                                                                                                           
ItemLevel	Poor	Common	Uncommon	Rare	Epic	Legendary
51	0.00000	0.00000	47.04863	55.26483	64.65072	0.00000
52	0.00000	0.00000	48.38759	56.75355	64.65072	0.00000
53	0.00000	0.00000	48.51300	58.04461	64.65072	0.00000
54	0.00000	0.00000	48.51300	58.40114	64.65072	0.00000
55	0.00000	40.69394	48.68827	59.73884	64.65072	0.00000
56	0.00000	0.00000	50.69874	60.02128	64.65072	0.00000
57	0.00000	0.00000	52.03427	61.21932	65.12937	0.00000
58	0.00000	0.00000	52.14291	61.55092	68.50902	0.00000
59	0.00000	0.00000	52.14291	64.43199	72.44435	0.00000
60	0.00000	0.00000	52.14291	65.45773	72.44435	0.00000
61	0.00000	0.00000	52.75799	67.18677	72.44435	0.00000
62	0.00000	0.00000	53.66726	67.69100	72.44435	0.00000
63	0.00000	0.00000	56.48178	68.09519	72.44435	0.00000
64	0.00000	0.00000	59.80018	68.18552	74.88614	0.00000
65	0.00000	0.00000	66.73082	70.31548	85.07260	0.00000
66	0.00000	0.00000	0.00000	70.98102	91.15479	0.00000
67	0.00000	0.00000	0.00000	0.00000	91.15479	0.00000
68	0.00000	0.00000	0.00000	70.98102	91.15479	0.00000
69	0.00000	42.75003	0.00000	0.00000	91.15479	0.00000
70	0.00000	46.66655	0.00000	70.98102	91.15479	0.00000
71	0.00000	46.66655	0.00000	72.73440	92.42994	0.00000
72	0.00000	49.61440	0.00000	0.00000	97.49462	0.00000
73	0.00000	0.00000	0.00000	81.12333	103.91645	0.00000
74	0.00000	0.00000	0.00000	88.15621	103.91645	0.00000
75	0.00000	49.61440	0.00000	0.00000	104.62451	0.00000
76	0.00000	0.00000	78.01296	0.00000	104.62451	68.98266
77	0.00000	0.00000	0.00000	0.00000	104.62451	0.00000
78	0.00000	0.00000	0.00000	0.00000	104.62451	0.00000
79	0.00000	0.00000	0.00000	0.00000	104.62451	0.00000
80	0.00000	53.17109	80.74012	89.10736	104.62451	80.44288
81	0.00000	0.00000	86.21895	0.00000	104.62451	0.00000
82	0.00000	0.00000	0.00000	94.96167	0.00000	0.00000
83	0.00000	0.00000	86.21895	0.00000	104.62451	0.00000
84	0.00000	0.00000	86.21895	0.00000	104.62451	0.00000
85	0.00000	56.92547	0.00000	94.96167	108.54331	0.00000
86	0.00000	0.00000	0.00000	0.00000	111.10945	0.00000
87	0.00000	0.00000	86.21895	0.00000	0.00000	0.00000
88	0.00000	0.00000	0.00000	96.28245	111.82436	0.00000
89	0.00000	0.00000	0.00000	0.00000	111.82436	0.00000
90	0.00000	67.44186	86.21895	0.00000	111.82436	87.91394
91	0.00000	0.00000	0.00000	96.28245	0.00000	0.00000
92	0.00000	0.00000	0.00000	0.00000	113.76239	0.00000
93	0.00000	0.00000	86.21895	0.00000	0.00000	0.00000
94	0.00000	0.00000	0.00000	100.90888	0.00000	0.00000
95	0.00000	0.00000	0.00000	0.00000	118.73696	0.00000
96	0.00000	0.00000	86.21895	0.00000	0.00000	0.00000
97	0.00000	0.00000	0.00000	109.24790	0.00000	0.00000
98	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
99	0.00000	0.00000	86.50521	0.00000	0.00000	0.00000
100	0.00000	0.00000	0.00000	128.49350	122.86945	135.31830
101	0.00000	0.00000	0.00000	128.49350	0.00000	0.00000
102	0.00000	0.00000	86.50521	128.49350	0.00000	0.00000
103	0.00000	0.00000	86.50521	128.49350	0.00000	0.00000
104	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
105	0.00000	0.00000	86.50521	0.00000	128.68217	0.00000
106	0.00000	0.00000	0.00000	128.49350	0.00000	0.00000
107	0.00000	0.00000	0.00000	0.00000	137.57689	0.00000
108	0.00000	0.00000	93.81943	128.49350	0.00000	0.00000
109	0.00000	0.00000	0.00000	128.49350	0.00000	0.00000
110	0.00000	0.00000	0.00000	128.49350	158.39656	0.00000
111	0.00000	0.00000	96.58959	0.00000	0.00000	0.00000
112	0.00000	0.00000	0.00000	128.49350	0.00000	0.00000
113	0.00000	0.00000	0.00000	128.49350	159.64724	0.00000
114	0.00000	0.00000	99.44456	128.49350	0.00000	0.00000
115	0.00000	72.25243	0.00000	128.81831	164.20858	0.00000
116	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
117	0.00000	0.00000	102.13169	0.00000	0.00000	0.00000
118	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
119	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
120	0.00000	0.00000	110.54562	0.00000	170.79147	0.00000
121	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
122	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
123	0.00000	0.00000	0.00000	0.00000	171.74139	0.00000
124	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
125	0.00000	0.00000	0.00000	0.00000	180.98353	0.00000
126	0.00000	0.00000	0.00000	0.00000	180.98353	0.00000
127	0.00000	0.00000	0.00000	0.00000	181.01911	0.00000
128	0.00000	0.00000	0.00000	0.00000	181.01911	0.00000
129	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
130	0.00000	0.00000	121.04309	162.83538	181.01911	0.00000
131	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
132	0.00000	0.00000	0.00000	0.00000	181.01911	0.00000
133	0.00000	0.00000	0.00000	0.00000	181.01911	0.00000
134	0.00000	0.00000	132.53019	173.95791	199.74874	0.00000
135	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
136	0.00000	0.00000	0.00000	0.00000	199.74874	0.00000
137	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
138	0.00000	0.00000	139.78390	194.78015	199.74874	0.00000
139	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
141	0.00000	0.00000	0.00000	0.00000	221.07680	0.00000
142	0.00000	0.00000	147.66339	194.78015	0.00000	0.00000
143	0.00000	0.00000	0.00000	0.00000	221.07680	0.00000
144	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
145	0.00000	0.00000	147.66339	205.82857	221.07680	0.00000
146	0.00000	0.00000	147.66339	205.82857	221.07680	0.00000
147	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
148	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
149	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
150	0.00000	0.00000	147.66339	205.82857	0.00000	0.00000
151	0.00000	0.00000	147.66339	0.00000	221.07680	0.00000
152	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
153	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
154	0.00000	0.00000	147.66339	205.82857	251.23699	0.00000
155	0.00000	0.00000	150.52734	205.82857	0.00000	0.00000
156	0.00000	0.00000	0.00000	0.00000	272.37429	192.91220
157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
158	0.00000	0.00000	153.05836	207.94578	0.00000	0.00000
159	0.00000	0.00000	0.00000	210.96250	276.62292	0.00000
160	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
161	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
162	0.00000	0.00000	157.19382	215.63654	0.00000	0.00000
163	0.00000	0.00000	0.00000	228.31678	0.00000	0.00000
164	0.00000	0.00000	0.00000	0.00000	287.64940	450.95635
165	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
166	0.00000	0.00000	159.55024	231.95568	0.00000	0.00000
167	0.00000	0.00000	0.00000	235.95178	0.00000	0.00000
168	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
169	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
170	0.00000	0.00000	161.27869	235.95178	0.00000	0.00000
171	0.00000	0.00000	0.00000	249.14851	0.00000	0.00000
172	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
173	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
174	0.00000	0.00000	165.26441	253.75793	0.00000	0.00000
175	0.00000	0.00000	0.00000	262.94413	0.00000	0.00000
176	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
177	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
178	0.00000	0.00000	168.79835	0.00000	0.00000	0.00000
179	0.00000	0.00000	0.00000	262.94413	0.00000	0.00000
180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
181	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
182	0.00000	0.00000	182.61219	0.00000	0.00000	0.00000
183	0.00000	0.00000	0.00000	271.55484	0.00000	0.00000
184	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
185	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
186	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
187	0.00000	0.00000	189.54480	290.89186	0.00000	0.00000
188	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
189	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
190	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
191	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
192	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
193	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
194	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
195	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
196	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
197	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
198	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
199	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
200	0.00000	0.00000	0.00000	308.84901	341.31504	0.00000
201	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
202	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
203	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
204	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
205	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
206	0.00000	0.00000	0.00000	0.00000	393.66016	0.00000
207	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
208	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
209	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
211	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
212	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
213	0.00000	0.00000	0.00000	0.00000	427.43925	0.00000
214	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
215	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
216	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
217	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
218	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
219	0.00000	0.00000	0.00000	0.00000	451.20188	0.00000
220	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
221	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
223	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
224	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
225	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
226	0.00000	0.00000	0.00000	0.00000	473.89654	0.00000
227	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
228	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
229	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
230	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
231	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
232	0.00000	0.00000	0.00000	0.00000	507.08615	0.00000
233	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
234	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
235	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
236	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
237	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
238	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
239	0.00000	0.00000	0.00000	0.00000	533.51169	0.00000
240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
242	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
243	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
244	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
245	0.00000	0.00000	0.00000	0.00000	562.94015	641.66678
246	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
247	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
248	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
249	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
251	0.00000	0.00000	0.00000	0.00000	640.51688	0.00000
252	0.00000	0.00000	0.00000	0.00000	661.15926	0.00000
253	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
254	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
255	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
256	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
257	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
258	0.00000	0.00000	0.00000	0.00000	759.28957	0.00000
259	0.00000	0.00000	0.00000	0.00000	759.28957	0.00000
260	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
261	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
262	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
263	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
264	0.00000	0.00000	0.00000	0.00000	789.99248	0.00000
265	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
266	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
267	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
268	0.00000	0.00000	0.00000	0.00000	789.99248	0.00000
269	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
270	0.00000	0.00000	0.00000	0.00000	789.99248	0.00000
271	0.00000	0.00000	0.00000	0.00000	789.99248	0.00000
272	0.00000	0.00000	0.00000	0.00000	800.42101	0.00000
273	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
274	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
275	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
276	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
277	0.00000	0.00000	0.00000	0.00000	835.32161	0.00000
278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
279	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
280	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
281	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
282	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
283	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
284	0.00000	0.00000	0.00000	0.00000	835.32161	824.42766
285	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
286	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
287	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
288	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
289	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
291	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
293	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
294	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
295	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
296	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
297	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
298	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
300	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Copy Curve Bracket Table: ACSBV3_ref_curve_bracket FROM ACSBV3_0503A_curve_bracket                                ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:30                                                                                            0503C (v1.0)
                                                                                                                           
ItemLevel	Poor	Common	Uncommon	Rare	Epic	Legendary
10	0.00000	9.05037	13.99905	22.35640	23.90803	23.90803
20	0.00000	14.38938	21.58221	26.70178	28.55500	28.55500
30	0.00000	22.88347	28.98032	37.05310	37.05310	37.05310
40	0.00000	29.32654	39.60711	47.47608	53.72464	53.72464
50	0.00000	39.21604	49.31399	58.69685	65.86378	65.86378
60	0.00000	42.75003	56.93016	68.61172	81.43553	81.43553
70	0.00000	48.14048	78.01296	78.24874	101.20348	101.20348
80	0.00000	55.04828	85.12318	93.82829	107.72494	107.72494
90	0.00000	67.44186	86.29052	102.14641	114.77457	114.77457
100	0.00000	65.62522	88.33377	128.49350	129.70950	135.31830
110	0.00000	72.25243	99.38861	128.55846	160.75079	160.75079
120	0.00000	89.93405	110.54562	156.66912	177.75636	177.75636
130	0.00000	96.32285	131.11906	177.19115	190.38393	190.38393
140	0.00000	111.85160	147.66339	202.14576	221.07680	221.07680
150	0.00000	129.18052	149.31517	207.27880	255.32775	255.32775
160	0.00000	145.53334	158.37203	227.96520	287.64940	320.01571
170	0.00000	151.87898	165.11382	252.94930	300.19169	333.96926
180	0.00000	163.22821	186.07850	281.22335	322.62366	358.92527
190	0.00000	174.57745	195.88463	281.19273	345.05563	383.88129
200	0.00000	185.92668	208.61904	308.84901	367.48760	408.83730
210	0.00000	222.26985	249.39789	358.01112	439.32057	488.75292
220	0.00000	239.76322	269.02633	386.18777	473.89654	527.21938
230	0.00000	263.24004	295.36849	424.00200	520.29892	578.84295
240	0.00000	284.81394	319.57549	458.75119	562.94015	641.66678
250	0.00000	356.71999	400.25768	574.57061	705.06382	784.39760
260	0.00000	399.68880	448.47083	643.78067	789.99248	878.88243
270	0.00000	406.74131	456.38410	655.14018	803.93190	894.39032
280	0.00000	422.62262	474.20372	680.72029	835.32161	929.31200
290	0.00000	434.08953	487.07017	699.19010	857.98618	954.52678
300	0.00000	445.55644	499.93662	717.65990	880.65074	979.74156

                                                                                                                           
2025-12-19 18:56:31                                                                                            0503C (v1.0)
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
