
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset.                                                             ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

  +----------------------------------------------+---------+-----------+  
  |                                              |  Count  |   Ratio   |  
  +----------------------------------------------+---------+-----------+  
  |                                              |         |           |  
  |  ACSBV3_ref_dataset: Total Items             |  18318  |  100.00%  |  
  |                                              |         |           |  
  |  Dataset items with a Buy  Price             |  13097  |   71.50%  |  
  |  Dataset items with a Sell Price             |  13103  |   71.53%  |  
  |                                              |         |           |  
  |  Dataset items with both Buy and Sell Price  |  13096  |   71.49%  |  
  |  Dataset items without a Buy  or Sell Price  |   5214  |   28.46%  |  
  |                                              |         |           |  
  +----------------------------------------------+---------+-----------+  
                                                                          

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Rare      | ANY            |  113 |  110 |    173.53214 | 13096 | 100.000% | | |      0.04010% |      0.06152% |      282061.733 | |     17.66900%  | |       49837.377 |      0.34820% |      0.22670% | 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
                                                                                |                                                     |                |                                                     
<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset. [GROUP BY Quality, slot_group]                              ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Common    | Ranged-Thrown  |   27 |   20 |     16.70834 |     2 |   0.015% | | |     13.50000% |      8.35417% |         200.000 | |     25.00000%  | |          50.000 |     33.41668% |     54.00000% | 
 | Common    | Ranged-Thrown  |   40 |   40 |     26.66667 |     2 |   0.015% | | |      5.00000% |      3.33333% |         800.000 | |     25.00000%  | |         200.000 |     13.33334% |     20.00000% | 
 | Common    | Ranged-Thrown  |   55 |   50 |     40.83333 |     2 |   0.015% | | |      6.87500% |      5.10417% |         800.000 | |     25.00000%  | |         200.000 |     20.41667% |     27.50000% | 
 | Common    | Ranged-Thrown  |   75 |   70 |     53.66667 |     2 |   0.015% | | |      0.06720% |      0.04810% |      111565.000 | |     20.00000%  | |       22313.000 |      0.24052% |      0.33610% | 
 | Common    | Ranged-Thrown  |   80 |   80 |     55.41667 |     1 |   0.008% | | |      0.06700% |      0.04641% |      119394.000 | |     25.00000%  | |       29848.000 |      0.18566% |      0.26800% | 
 | Common    | Ranged-Wand    |   23 |   20 |     15.73913 |     5 |   0.038% | | |      0.57400% |      0.39277% |        4007.200 | |     19.99400%  | |         801.200 |      1.96444% |      2.87070% | 
 | Common    | Ranged-Wand    |   35 |   30 |     26.46875 |     2 |   0.015% | | |      0.23250% |      0.17583% |       15053.500 | |     19.99500%  | |        3010.000 |      0.87936% |      1.16280% | 
 | Common    | Ranged-Wand    |   46 |   40 |     35.00919 |     2 |   0.015% | | |      0.12360% |      0.09404% |       37229.000 | |     19.99900%  | |        7445.500 |      0.47021% |      0.61780% | 
 | Common    | Ranged-Wand    |   75 |   70 |     65.38462 |     4 |   0.031% | | |      0.06590% |      0.05744% |      113824.250 | |     20.00000%  | |       22764.500 |      0.28722% |      0.32950% | 
 | Common    | Ranged-Weapon  |   15 |   10 |      8.04030 |     2 |   0.015% | | |      0.97530% |      0.52278% |        1538.000 | |     19.96100%  | |         307.000 |      2.61899% |      4.88600% | 
 | Common    | Ranged-Weapon  |   23 |   20 |     11.61284 |     5 |   0.038% | | |      0.46610% |      0.23534% |        4934.400 | |     19.99000%  | |         986.400 |      1.17730% |      2.33170% | 
 | Common    | Ranged-Weapon  |   35 |   30 |     16.43116 |     3 |   0.023% | | |      0.21600% |      0.10142% |       16201.333 | |     19.99600%  | |        3239.667 |      0.50719% |      1.08040% | 
 | Common    | Ranged-Weapon  |   69 |   60 |     39.04762 |     1 |   0.008% | | |      0.06730% |      0.03810% |      102498.000 | |     19.99900%  | |       20499.000 |      0.19049% |      0.33660% | 
 | Common    | Ranged-Weapon  |   70 |   70 |     39.70959 |     3 |   0.023% | | |      0.06800% |      0.03855% |      103007.667 | |     19.99900%  | |       20601.000 |      0.19276% |      0.33980% | 
 | Common    | Ranged-Weapon  |   81 |   80 |     43.44792 |     4 |   0.031% | | |      0.06770% |      0.03633% |      119595.000 | |     20.00000%  | |       23918.500 |      0.18165% |      0.33860% | 
 | Common    | Staff-Weapon   |   12 |   10 |      6.64141 |     4 |   0.031% | | |      0.83160% |      0.46025% |        1443.000 | |     19.97600%  | |         288.250 |      2.30405% |      4.16310% | 
 | Common    | Staff-Weapon   |   23 |   20 |     13.53161 |     2 |   0.015% | | |      0.29860% |      0.17568% |        7702.500 | |     20.00000%  | |        1540.500 |      0.87839% |      1.49300% | 
 | Common    | Staff-Weapon   |   36 |   30 |     22.94118 |     1 |   0.008% | | |      0.12260% |      0.07815% |       29356.000 | |     19.99900%  | |        5871.000 |      0.39075% |      0.61320% | 
 | Common    | Staff-Weapon   |   45 |   40 |     32.42424 |     1 |   0.008% | | |      0.07310% |      0.05267% |       61557.000 | |     19.99900%  | |       12311.000 |      0.26338% |      0.36550% | 
 | Common    | Staff-Weapon   |   80 |   80 |     55.75000 |     1 |   0.008% | | |      0.04140% |      0.02887% |      193123.000 | |     20.00000%  | |       38624.000 |      0.14434% |      0.20710% | 
 | Common    | Accessory      |   30 |   30 |     10.00000 |     1 |   0.008% | | |      1.20000% |      0.40000% |        2500.000 | |     25.00000%  | |         625.000 |      1.60000% |      4.80000% | 
 | Common    | Back           |   12 |   10 |      2.19048 |    21 |   0.160% | | |      3.17780% |      0.58008% |         377.619 | |     19.92400%  | |          75.238 |      2.91140% |     15.94940% | 
 | Common    | Back           |   80 |   80 |      9.60000 |     2 |   0.015% | | |      0.16020% |      0.01922% |       49948.000 | |     20.00000%  | |        9989.500 |      0.09610% |      0.80080% | 
 | Common    | Major-Armor    |   13 |   10 |     11.19200 |    25 |   0.191% | | |      1.66570% |      1.43406% |         780.440 | |     19.94800%  | |         155.680 |      7.18911% |      8.35050% | 
 | Common    | Major-Armor    |   25 |   20 |     15.97778 |    18 |   0.137% | | |      0.61490% |      0.39301% |        4065.500 | |     19.98900%  | |         812.667 |      1.96609% |      3.07630% | 
 | Common    | Major-Armor    |   36 |   30 |     18.84000 |    10 |   0.076% | | |      0.30420% |      0.15922% |       11832.800 | |     19.99700%  | |        2366.200 |      0.79621% |      1.52140% | 
 | Common    | Major-Armor    |   50 |   50 |     47.45455 |    11 |   0.084% | | |      0.12720% |      0.12077% |       39292.909 | |     19.99900%  | |        7858.273 |      0.60388% |      0.63630% | 
 | Common    | Major-Armor    |   70 |   70 |     31.10000 |     2 |   0.015% | | |      0.10080% |      0.04478% |       69446.000 | |     20.00000%  | |       13889.000 |      0.22392% |      0.50400% | 
 | Common    | Major-Armor    |   90 |   90 |    124.30000 |     2 |   0.015% | | |      0.07910% |      0.10922% |      113805.500 | |     19.99900%  | |       22760.500 |      0.54612% |      0.39540% | 
 | Common    | Minor-Armor    |   12 |   10 |      7.44298 |   121 |   0.924% | | |      3.41440% |      2.11776% |         351.455 | |     19.88400%  | |          69.884 |     10.65048% |     17.17130% | 
 | Common    | Minor-Armor    |   25 |   20 |     11.00741 |    27 |   0.206% | | |      1.08940% |      0.47966% |        2294.815 | |     19.98200%  | |         458.556 |      2.40045% |      5.45190% | 
 | Common    | Minor-Armor    |   37 |   30 |     13.63333 |    12 |   0.092% | | |      0.50140% |      0.18476% |        7378.833 | |     19.99600%  | |        1475.500 |      0.92398% |      2.50760% | 
 | Common    | Minor-Armor    |   50 |   50 |     31.46000 |    20 |   0.153% | | |      0.21990% |      0.13834% |       22740.800 | |     19.99800%  | |        4547.750 |      0.69177% |      1.09940% | 
 | Common    | Minor-Armor    |   70 |   70 |     19.20000 |     4 |   0.031% | | |      0.17460% |      0.04788% |       40097.500 | |     19.99900%  | |        8019.250 |      0.23942% |      0.87290% | 
 | Common    | Minor-Armor    |   90 |   90 |     71.66667 |     3 |   0.023% | | |      0.15450% |      0.12301% |       58262.667 | |     20.00000%  | |       11652.333 |      0.61504% |      0.77240% | 
 | Common    | Moderate-Armor |   22 |   20 |     13.24545 |    22 |   0.168% | | |      1.00140% |      0.60293% |        2196.864 | |     19.98300%  | |         439.000 |      3.01719% |      5.01140% | 
 | Common    | Moderate-Armor |   37 |   30 |     19.20000 |     3 |   0.023% | | |      0.36500% |      0.18942% |       10136.333 | |     19.99700%  | |        2027.000 |      0.94721% |      1.82540% | 
 | Common    | Moderate-Armor |   50 |   50 |     44.20000 |     5 |   0.038% | | |      0.16350% |      0.14457% |       30574.400 | |     19.99800%  | |        6114.400 |      0.72288% |      0.81770% | 
 | Common    | Moderate-Armor |   70 |   70 |     27.00000 |     1 |   0.008% | | |      0.12700% |      0.04899% |       55116.000 | |     20.00000%  | |       11023.000 |      0.24494% |      0.63500% | 
 | Common    | Shield         |   13 |   10 |     45.12727 |    11 |   0.084% | | |      1.31580% |      4.56754% |         988.000 | |     19.94800%  | |         197.091 |     22.89667% |      6.59590% | 
 | Common    | Shield         |   25 |   20 |     90.60000 |     7 |   0.053% | | |      0.66890% |      2.42403% |        3737.571 | |     44.07800%  | |        1647.429 |      5.49948% |      1.51750% | 
 | Common    | Shield         |   36 |   30 |    126.06667 |     3 |   0.023% | | |      0.23330% |      0.81688% |       15432.667 | |     19.99700%  | |        3086.000 |      4.08512% |      1.16660% | 
 | Common    | Shield         |   47 |   40 |    275.40000 |     1 |   0.008% | | |      0.12480% |      0.73153% |       37647.000 | |     19.99900%  | |        7529.000 |      3.65786% |      0.62430% | 
 | Common    | Shield         |   50 |   50 |    291.40000 |     2 |   0.015% | | |      0.11040% |      0.64330% |       45298.000 | |     19.99900%  | |        9059.000 |      3.21669% |      0.55190% | 
 | Common    | Shield         |   85 |   80 |    478.00000 |     1 |   0.008% | | |      0.07660% |      0.43075% |      110970.000 | |     20.00000%  | |       22194.000 |      2.15374% |      0.38300% | 
 | Common    | Shield         |   90 |   90 |    504.60000 |     1 |   0.008% | | |      0.08290% |      0.46466% |      108595.000 | |     20.00000%  | |       21719.000 |      2.32331% |      0.41440% | 
 | Uncommon  | 1H-Weapon      |   15 |   10 |      8.75095 |    49 |   0.374% | | |      0.39250% |      0.22897% |        3821.796 | |     19.98900%  | |         763.939 |      1.14550% |      1.96350% | 
 | Uncommon  | 1H-Weapon      |   24 |   20 |     14.46908 |    43 |   0.328% | | |      0.18940% |      0.11417% |       12673.070 | |     19.99700%  | |        2534.233 |      0.57095% |      0.94700% | 
 | Uncommon  | 1H-Weapon      |   35 |   30 |     19.68841 |    26 |   0.199% | | |      0.09630% |      0.05419% |       36334.192 | |     19.99900%  | |        7266.423 |      0.27095% |      0.48170% | 
 | Uncommon  | 1H-Weapon      |   45 |   40 |     28.92703 |    20 |   0.153% | | |      0.05610% |      0.03609% |       80142.850 | |     20.00000%  | |       16028.250 |      0.18048% |      0.28080% | 
 | Uncommon  | 1H-Weapon      |   54 |   50 |     35.34813 |    15 |   0.115% | | |      0.03430% |      0.02244% |      157520.467 | |     20.00000%  | |       31503.733 |      0.11220% |      0.17140% | 
 | Uncommon  | 1H-Weapon      |   62 |   60 |     41.84942 |    10 |   0.076% | | |      0.02910% |      0.01967% |      212791.800 | |     20.00000%  | |       42558.000 |      0.09834% |      0.14570% | 
 | Uncommon  | 1H-Weapon      |   84 |   80 |     45.49708 |    22 |   0.168% | | |      0.03020% |      0.01637% |      277879.864 | |     20.00000%  | |       55575.500 |      0.08187% |      0.15110% | 
 | Uncommon  | 1H-Weapon      |   95 |   90 |     49.52252 |    30 |   0.229% | | |      0.02920% |      0.01523% |      325247.900 | |     20.00000%  | |       65049.167 |      0.07613% |      0.14600% | 
 | Uncommon  | 1H-Weapon      |  106 |  100 |     57.45250 |    27 |   0.206% | | |      0.03130% |      0.01699% |      338212.889 | |     20.00000%  | |       67642.259 |      0.08494% |      0.15670% | 
 | Uncommon  | 1H-Weapon      |  114 |  110 |     55.85973 |    21 |   0.160% | | |      0.03180% |      0.01557% |      358746.333 | |     20.00000%  | |       71748.857 |      0.07785% |      0.15890% | 
 | Uncommon  | 1H-Weapon      |  120 |  120 |     58.27731 |     7 |   0.053% | | |      0.03160% |      0.01535% |      379623.286 | |     20.00000%  | |       75924.286 |      0.07676% |      0.15810% | 
 | Uncommon  | 1H-Weapon      |  134 |  130 |    115.99823 |    21 |   0.160% | | |      0.03200% |      0.02774% |      418201.000 | |     20.00000%  | |       83639.762 |      0.13869% |      0.16020% | 
 | Uncommon  | 1H-Weapon      |  143 |  140 |    123.72121 |     9 |   0.069% | | |      0.03200% |      0.02770% |      446591.333 | |     20.00000%  | |       89317.889 |      0.13852% |      0.16010% | 
 | Uncommon  | 1H-Weapon      |  154 |  150 |    132.32915 |    22 |   0.168% | | |      0.03180% |      0.02730% |      484671.955 | |     20.00000%  | |       96933.955 |      0.13651% |      0.15890% | 
 | Uncommon  | 1H-Weapon      |  164 |  160 |    141.65727 |    14 |   0.107% | | |      0.03200% |      0.02764% |      512539.643 | |     20.00000%  | |      102507.643 |      0.13819% |      0.16000% | 
 | Uncommon  | 1H-Weapon      |  174 |  170 |    151.88490 |    21 |   0.160% | | |      0.03260% |      0.02847% |      533490.619 | |     20.00000%  | |      106697.810 |      0.14235% |      0.16310% | 
 | Uncommon  | 1H-Weapon      |  183 |  180 |    160.25823 |     8 |   0.061% | | |      0.03290% |      0.02883% |      555778.875 | |     20.00000%  | |      111155.500 |      0.14417% |      0.16460% | 
 | Uncommon  | 2H-Weapon      |   16 |   10 |     13.28615 |    24 |   0.183% | | |      0.30630% |      0.25434% |        5223.792 | |     19.99200%  | |        1044.333 |      1.27221% |      1.53210% | 
 | Uncommon  | 2H-Weapon      |   24 |   20 |     22.58795 |    31 |   0.237% | | |      0.14990% |      0.14108% |       16010.645 | |     19.99700%  | |        3201.645 |      0.70551% |      0.74960% | 
 | Uncommon  | 2H-Weapon      |   34 |   30 |     32.34527 |    16 |   0.122% | | |      0.07900% |      0.07513% |       43052.750 | |     19.99900%  | |        8610.188 |      0.37566% |      0.39490% | 
 | Uncommon  | 2H-Weapon      |   44 |   40 |     36.28568 |    16 |   0.122% | | |      0.04510% |      0.03716% |       97640.813 | |     20.00000%  | |       19527.688 |      0.18582% |      0.22530% | 
 | Uncommon  | 2H-Weapon      |   55 |   50 |     48.40739 |    13 |   0.099% | | |      0.02780% |      0.02446% |      197923.923 | |     20.00000%  | |       39584.231 |      0.12229% |      0.13890% | 
 | Uncommon  | 2H-Weapon      |   62 |   60 |     57.42139 |     7 |   0.053% | | |      0.02660% |      0.02465% |      232966.286 | |     20.00000%  | |       46592.857 |      0.12324% |      0.13310% | 
 | Uncommon  | 2H-Weapon      |   84 |   80 |     59.38511 |    13 |   0.099% | | |      0.02450% |      0.01732% |      342843.692 | |     20.00000%  | |       68568.385 |      0.08661% |      0.12250% | 
 | Uncommon  | 2H-Weapon      |   95 |   90 |     70.16812 |    17 |   0.130% | | |      0.02250% |      0.01661% |      422534.588 | |     20.00000%  | |       84506.471 |      0.08303% |      0.11240% | 
 | Uncommon  | 2H-Weapon      |  105 |  100 |     83.81857 |    15 |   0.115% | | |      0.02460% |      0.01960% |      427592.933 | |     20.00000%  | |       85518.267 |      0.09801% |      0.12280% | 
 | Uncommon  | 2H-Weapon      |  114 |  110 |     93.03356 |    14 |   0.107% | | |      0.02780% |      0.02271% |      409589.714 | |     20.00000%  | |       81917.500 |      0.11357% |      0.13920% | 
 | Uncommon  | 2H-Weapon      |  120 |  120 |     84.71429 |     4 |   0.031% | | |      0.02480% |      0.01748% |      484551.750 | |     20.00000%  | |       96910.000 |      0.08742% |      0.12380% | 
 | Uncommon  | 2H-Weapon      |  134 |  130 |    108.09524 |    12 |   0.092% | | |      0.02570% |      0.02070% |      522103.750 | |     20.00000%  | |      104420.333 |      0.10352% |      0.12830% | 
 | Uncommon  | 2H-Weapon      |  143 |  140 |    112.71428 |     5 |   0.038% | | |      0.02600% |      0.02052% |      549411.600 | |     20.00000%  | |      109882.000 |      0.10258% |      0.13010% | 
 | Uncommon  | 2H-Weapon      |  154 |  150 |    125.81264 |    13 |   0.099% | | |      0.02590% |      0.02116% |      594658.308 | |     20.00000%  | |      118931.077 |      0.10579% |      0.12950% | 
 | Uncommon  | 2H-Weapon      |  164 |  160 |    125.57143 |     8 |   0.061% | | |      0.02620% |      0.02005% |      626409.875 | |     20.00000%  | |      125281.750 |      0.10023% |      0.13090% | 
 | Uncommon  | 2H-Weapon      |  174 |  170 |    132.61905 |    12 |   0.092% | | |      0.02600% |      0.01984% |      668279.833 | |     20.00000%  | |      133655.500 |      0.09922% |      0.13020% | 
 | Uncommon  | 2H-Weapon      |  182 |  180 |    138.71429 |     4 |   0.031% | | |      0.02570% |      0.01962% |      706837.250 | |     20.00000%  | |      141367.250 |      0.09812% |      0.12870% | 
 | Uncommon  | Ranged-Thrown  |   19 |   10 |     14.70000 |     1 |   0.008% | | |      3.16670% |      2.45000% |         600.000 | |     25.00000%  | |         150.000 |      9.80000% |     12.66670% | 
 | Uncommon  | Ranged-Thrown  |   20 |   20 |     14.88182 |     1 |   0.008% | | |      3.33330% |      2.48030% |         600.000 | |     25.00000%  | |         150.000 |      9.92121% |     13.33330% | 
 | Uncommon  | Ranged-Thrown  |   40 |   40 |     35.26364 |     1 |   0.008% | | |      1.66670% |      1.46932% |        2400.000 | |     25.00000%  | |         600.000 |      5.87727% |      6.66670% | 
 | Uncommon  | Ranged-Thrown  |   60 |   60 |     52.96364 |     1 |   0.008% | | |      0.15000% |      0.13241% |       40000.000 | |     25.00000%  | |       10000.000 |      0.52964% |      0.60000% | 
 | Uncommon  | Ranged-Thrown  |   84 |   80 |     59.31373 |     3 |   0.023% | | |      0.07590% |      0.05358% |      110710.667 | |     25.00000%  | |       27677.667 |      0.21430% |      0.30350% | 
 | Uncommon  | Ranged-Thrown  |   95 |   90 |     64.55882 |     4 |   0.031% | | |      0.07730% |      0.05254% |      122876.000 | |     25.00000%  | |       30719.000 |      0.21016% |      0.30930% | 
 | Uncommon  | Ranged-Thrown  |  106 |  100 |     77.12941 |     5 |   0.038% | | |      0.11790% |      0.08581% |       89880.800 | |     25.00000%  | |       22470.000 |      0.34326% |      0.47170% | 
 | Uncommon  | Ranged-Thrown  |  114 |  110 |     80.09804 |     3 |   0.023% | | |      0.07840% |      0.05506% |      145469.333 | |     25.00000%  | |       36367.333 |      0.22025% |      0.31350% | 
 | Uncommon  | Ranged-Thrown  |  120 |  120 |     84.41176 |     1 |   0.008% | | |      0.07870% |      0.05538% |      152420.000 | |     25.00000%  | |       38105.000 |      0.22152% |      0.31490% | 
 | Uncommon  | Ranged-Thrown  |  134 |  130 |    108.13726 |     3 |   0.023% | | |      0.12100% |      0.09768% |      110710.667 | |     25.00000%  | |       27677.667 |      0.39070% |      0.48410% | 
 | Uncommon  | Ranged-Thrown  |  142 |  140 |    112.05882 |     1 |   0.008% | | |      0.12070% |      0.09524% |      117660.000 | |     25.00000%  | |       29415.000 |      0.38096% |      0.48270% | 
 | Uncommon  | Ranged-Thrown  |  153 |  150 |    128.24192 |     4 |   0.031% | | |      0.12030% |      0.10080% |      127222.000 | |     25.00000%  | |       31805.500 |      0.40321% |      0.48100% | 
 | Uncommon  | Ranged-Thrown  |  164 |  160 |    125.58824 |     2 |   0.015% | | |      0.11990% |      0.09182% |      136778.000 | |     25.00000%  | |       34194.500 |      0.36728% |      0.47960% | 
 | Uncommon  | Ranged-Thrown  |  174 |  170 |    132.54902 |     3 |   0.023% | | |      0.11960% |      0.09112% |      145469.333 | |     25.00000%  | |       36367.333 |      0.36447% |      0.47850% | 
 | Uncommon  | Ranged-Thrown  |  182 |  180 |    138.82353 |     1 |   0.008% | | |      0.11940% |      0.09108% |      152420.000 | |     25.00000%  | |       38105.000 |      0.36432% |      0.47760% | 
