
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Curve Table: ACSBV3_doc_curve FROM ACSBV3_0401A_curve                                 (v1.0)  ##
##      - Copy final product of Phase 04-00 to 04-03 pipeline to "Documentation Ready" table.                            ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
CurveName	ItemLevel	Value_Raw	Value_Smooth	Value_Final
Common	10	5.04718	5.47942	5.47942
Common	11	5.91166	5.59049	5.59049
Common	12	5.81263	6.18744	6.18744
Common	13	6.83803	6.35393	6.35393
Common	14	6.41114	6.54339	6.54339
Common	15	6.38099	6.66029	6.66029
Common	16	7.18875	6.86941	6.86941
Common	17	7.03848	6.65313	6.86941
Common	18	5.73215	7.03127	7.03127
Common	19	8.32318	7.25790	7.25790
Common	20	7.71836	8.74211	8.74211
Common	21	10.18479	8.90109	8.90109
Common	22	8.80013	10.33983	10.33983
Common	23	12.03456	10.32863	10.33983
Common	24	10.15121	11.15316	11.15316
Common	25	11.27370	11.20607	11.20607
Common	26	12.19331	10.86245	11.20607
Common	27	9.12035	8.71133	11.20607
Common	29	4.82033	13.69012	13.69012
Common	30	27.12968	14.58772	14.58772
Common	32	11.81316	18.71799	18.71799
Common	34	17.21112	14.78886	18.71799
Common	35	15.34231	16.13344	18.71799
Common	36	15.84689	13.99284	18.71799
Common	37	10.78933	16.47608	18.71799
Common	40	22.79203	18.12565	18.71799
Common	44	20.79559	21.30349	21.30349
Common	45	20.32285	21.61192	21.61192
Common	46	23.71733	26.69561	26.69561
Common	47	36.04665	30.47460	30.47460
Common	50	31.65981	34.46743	34.46743
Common	55	35.69583	35.66261	35.66261
Common	69	39.63220	32.11652	35.66261
Common	70	21.02154	33.41725	35.66261
Common	71	39.59802	31.32436	35.66261
Common	72	33.35353	38.27186	38.27186
Common	75	41.86404	37.79485	38.27186
Common	80	38.16698	42.12501	42.12501
Common	85	46.34401	53.17789	53.17789
Common	90	75.02269	61.20630	61.20630
Common	115	62.25219	68.63744	68.63744

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Curve Table: ACSBV3_0404A_master_chart FROM ACSBV3_doc_curve                          (v1.0)  ##
##      - This acts as a master chart for generating "Documentation Ready" charts.                                       ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
Bracket	ItemLevel	Poor	Common	Uncommon	Rare	Epic	Legendary
190	197	NULL	NULL	NULL	NULL	NULL	NULL
190	198	NULL	NULL	NULL	NULL	NULL	NULL
190	199	NULL	NULL	NULL	NULL	NULL	NULL
200	200	NULL	NULL	NULL	282.26477	283.64856	NULL
200	201	NULL	NULL	NULL	NULL	NULL	NULL
200	202	NULL	NULL	NULL	NULL	NULL	NULL
200	203	NULL	NULL	NULL	NULL	NULL	NULL
200	204	NULL	NULL	NULL	NULL	NULL	NULL
200	205	NULL	NULL	NULL	NULL	NULL	NULL
200	206	NULL	NULL	NULL	NULL	329.95581	NULL
200	207	NULL	NULL	NULL	NULL	NULL	NULL
200	208	NULL	NULL	NULL	NULL	NULL	NULL
200	209	NULL	NULL	NULL	NULL	NULL	NULL
210	210	NULL	NULL	NULL	NULL	NULL	NULL
210	211	NULL	NULL	NULL	NULL	NULL	NULL
210	212	NULL	NULL	NULL	NULL	NULL	NULL
210	213	NULL	NULL	NULL	NULL	358.89552	NULL
210	214	NULL	NULL	NULL	NULL	NULL	NULL
210	215	NULL	NULL	NULL	NULL	NULL	NULL
210	216	NULL	NULL	NULL	NULL	NULL	NULL
210	217	NULL	NULL	NULL	NULL	NULL	NULL
210	218	NULL	NULL	NULL	NULL	NULL	NULL
210	219	NULL	NULL	NULL	NULL	382.48595	NULL
220	220	NULL	NULL	NULL	NULL	NULL	NULL
220	221	NULL	NULL	NULL	NULL	NULL	NULL
220	222	NULL	NULL	NULL	NULL	NULL	NULL
220	223	NULL	NULL	NULL	NULL	NULL	NULL
220	224	NULL	NULL	NULL	NULL	NULL	NULL
220	225	NULL	NULL	NULL	NULL	NULL	NULL
220	226	NULL	NULL	NULL	NULL	402.73065	NULL
220	227	NULL	NULL	NULL	NULL	NULL	NULL
220	228	NULL	NULL	NULL	NULL	NULL	NULL
220	229	NULL	NULL	NULL	NULL	NULL	NULL
230	230	NULL	NULL	NULL	NULL	NULL	NULL
230	231	NULL	NULL	NULL	NULL	NULL	NULL
230	232	NULL	NULL	NULL	NULL	415.30096	NULL
230	233	NULL	NULL	NULL	NULL	NULL	NULL
230	234	NULL	NULL	NULL	NULL	NULL	NULL
230	235	NULL	NULL	NULL	NULL	NULL	NULL
230	236	NULL	NULL	NULL	NULL	NULL	NULL
230	237	NULL	NULL	NULL	NULL	NULL	NULL
230	238	NULL	NULL	NULL	NULL	NULL	NULL
230	239	NULL	NULL	NULL	NULL	432.82369	NULL
240	240	NULL	NULL	NULL	NULL	NULL	NULL
240	241	NULL	NULL	NULL	NULL	NULL	NULL
240	242	NULL	NULL	NULL	NULL	NULL	NULL
240	243	NULL	NULL	NULL	NULL	NULL	NULL
240	244	NULL	NULL	NULL	NULL	NULL	NULL
240	245	NULL	NULL	NULL	NULL	455.74188	695.76147
240	246	NULL	NULL	NULL	NULL	NULL	NULL
240	247	NULL	NULL	NULL	NULL	NULL	NULL
240	248	NULL	NULL	NULL	NULL	NULL	NULL
240	249	NULL	NULL	NULL	NULL	NULL	NULL
250	250	NULL	NULL	NULL	NULL	NULL	NULL
250	251	NULL	NULL	NULL	NULL	455.74188	NULL
250	252	NULL	NULL	NULL	NULL	455.74188	NULL
250	253	NULL	NULL	NULL	NULL	NULL	NULL
250	254	NULL	NULL	NULL	NULL	NULL	NULL
250	255	NULL	NULL	NULL	NULL	NULL	NULL
250	256	NULL	NULL	NULL	NULL	NULL	NULL
250	257	NULL	NULL	NULL	NULL	NULL	NULL
250	258	NULL	NULL	NULL	NULL	556.87756	NULL
250	259	NULL	NULL	NULL	NULL	619.60963	NULL
260	260	NULL	NULL	NULL	NULL	NULL	NULL
260	261	NULL	NULL	NULL	NULL	NULL	NULL
260	262	NULL	NULL	NULL	NULL	NULL	NULL
260	263	NULL	NULL	NULL	NULL	NULL	NULL
260	264	NULL	NULL	NULL	NULL	708.42162	NULL
260	265	NULL	NULL	NULL	NULL	NULL	NULL
260	266	NULL	NULL	NULL	NULL	NULL	NULL
260	267	NULL	NULL	NULL	NULL	NULL	NULL
260	268	NULL	NULL	NULL	NULL	708.42162	NULL
260	269	NULL	NULL	NULL	NULL	NULL	NULL
270	270	NULL	NULL	NULL	NULL	708.42162	NULL
270	271	NULL	NULL	NULL	NULL	708.42162	NULL
270	272	NULL	NULL	NULL	NULL	708.42162	NULL
270	273	NULL	NULL	NULL	NULL	NULL	NULL
270	274	NULL	NULL	NULL	NULL	NULL	NULL
270	275	NULL	NULL	NULL	NULL	NULL	NULL
270	276	NULL	NULL	NULL	NULL	NULL	NULL
270	277	NULL	NULL	NULL	NULL	708.42162	NULL
270	278	NULL	NULL	NULL	NULL	NULL	NULL
270	279	NULL	NULL	NULL	NULL	NULL	NULL
280	280	NULL	NULL	NULL	NULL	NULL	NULL
280	281	NULL	NULL	NULL	NULL	NULL	NULL
280	282	NULL	NULL	NULL	NULL	NULL	NULL
280	283	NULL	NULL	NULL	NULL	NULL	NULL
280	284	NULL	NULL	NULL	NULL	708.42162	921.14113
280	285	NULL	NULL	NULL	NULL	NULL	NULL
280	286	NULL	NULL	NULL	NULL	NULL	NULL
280	287	NULL	NULL	NULL	NULL	NULL	NULL
280	288	NULL	NULL	NULL	NULL	NULL	NULL
280	289	NULL	NULL	NULL	NULL	NULL	NULL
290	290	NULL	NULL	NULL	NULL	NULL	NULL
290	291	NULL	NULL	NULL	NULL	NULL	NULL
290	292	NULL	NULL	NULL	NULL	NULL	NULL
290	293	NULL	NULL	NULL	NULL	NULL	NULL
290	294	NULL	NULL	NULL	NULL	NULL	NULL
290	295	NULL	NULL	NULL	NULL	NULL	NULL
290	296	NULL	NULL	NULL	NULL	NULL	NULL
290	297	NULL	NULL	NULL	NULL	NULL	NULL
290	298	NULL	NULL	NULL	NULL	NULL	NULL
290	299	NULL	NULL	NULL	NULL	NULL	NULL
300	300	NULL	NULL	NULL	NULL	NULL	NULL

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Create and Populate Curve Table: ACSBV3_doc_curve_bands FROM ACSBV3_0404A_master_chart                    (v1.0)  ##
##      - Reduce ACSBV3_0404A_master_chart by consolidating all points in `Bracket` (10 level bands).                    ##
##      - Record average, minimum, maximum, and slope.                                                                   ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
ItemLevel	Poor_Min	Poor	Poor_Max	Poor_Slope	Common_Min	Common	Common_Max	Common_Slope	Uncommon_Min	Uncommon	Uncommon_Max	Uncommon_Slope	Rare_Min	Rare	Rare_Max	Rare_Slope	Epic_Min	Epic	Epic_Max	Epic_Slope	Legendary_Min	Legendary	Legendary_Max	Legendary_Slope
10	0.00000	0.00000	0.00000	NULL	5.47942	6.48430	7.25790	0.42695	6.67332	9.92120	12.86343	0.57155	17.05133	17.08970	17.12807	0.31058	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20	0.00000	0.00000	0.00000	NULL	8.74211	10.75382	13.69012	0.72758	13.37251	15.63667	17.60558	0.55983	17.12807	20.19554	23.56851	0.73995	0.00000	0.00000	0.00000	2.76288	0.00000	0.00000	0.00000	0.00000
30	0.00000	0.00000	0.00000	NULL	14.58772	18.02961	18.71799	0.57311	18.18104	21.23492	24.86227	1.69310	23.80099	27.59501	31.77931	1.39613	27.62881	27.62881	27.62881	2.02134	0.00000	0.00000	0.00000	0.00000
40	0.00000	0.00000	0.00000	NULL	18.71799	23.76072	30.47460	1.13043	28.15786	38.16593	44.06094	1.10238	33.99903	41.55633	45.03719	1.04606	31.51190	47.84219	57.49975	1.21384	0.00000	0.00000	0.00000	0.00000
50	0.00000	0.00000	0.00000	NULL	34.46743	35.06502	35.66261	0.05976	45.33540	49.18971	53.57161	0.60265	45.03719	52.01696	57.42095	0.60837	57.49975	59.98058	74.21993	1.95363	0.00000	0.00000	0.00000	0.00000
60	0.00000	0.00000	0.00000	NULL	35.66261	35.66261	35.66261	0.13046	53.95670	55.21619	60.28402	1.16740	57.42095	58.10070	58.24595	0.70833	78.30964	79.51688	81.97799	1.02637	0.00000	0.00000	0.00000	6.71407
70	0.00000	0.00000	0.00000	NULL	35.66261	36.96724	38.27186	1.06842	66.89016	66.89016	66.89016	0.95814	58.24595	65.18399	70.89170	1.43423	81.97799	89.78057	92.14245	1.65774	67.14073	67.14073	67.14073	1.02080
80	0.00000	0.00000	0.00000	NULL	42.12501	47.65145	53.17789	1.35549	71.88463	76.47158	80.11701	0.78110	70.89170	79.52627	86.79498	1.76502	93.16457	106.35793	119.45984	1.31019	77.34872	77.34872	77.34872	2.25480
90	0.00000	0.00000	0.00000	NULL	61.20630	61.20630	61.20630	-6.12063	81.68283	84.28260	87.02738	0.45092	91.98998	97.17649	102.64642	1.47284	119.45984	119.45984	119.45984	0.20991	99.89676	99.89676	99.89676	3.64040
100	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	6.86374	87.02738	88.79184	94.08521	1.13696	111.90492	111.90492	111.90492	0.35053	119.45984	121.55889	125.75698	3.28944	136.30080	136.30080	136.30080	-13.63008
110	0.00000	0.00000	0.00000	NULL	68.63744	68.63744	68.63744	-6.86374	96.49739	100.16147	103.20484	1.44347	111.90492	115.41025	124.15349	-11.54103	154.45332	154.45332	154.45332	0.83753	0.00000	0.00000	0.00000	0.00000
120	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	114.59614	114.59614	114.59614	1.96964	0.00000	0.00000	0.00000	16.23218	154.45332	162.82857	171.48009	0.86515	0.00000	0.00000	0.00000	0.00000
130	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	125.16185	134.29252	142.92511	0.86326	145.89025	162.32184	178.95567	1.66338	171.48009	171.48009	171.48009	2.36795	0.00000	0.00000	0.00000	0.00000
140	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	142.92511	142.92511	142.92511	0.00000	178.95567	178.95567	178.95567	0.83048	188.57558	195.15960	198.93716	2.50548	0.00000	0.00000	0.00000	18.53799
150	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	142.92511	142.92511	142.92511	2.43686	178.95567	187.26042	205.34599	2.21042	198.93716	220.21441	233.21480	2.16083	185.37994	185.37994	185.37994	29.85785
160	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	165.99782	167.29366	168.58950	0.85617	206.22549	209.36457	212.50364	3.33994	241.82272	241.82272	241.82272	-24.18227	483.95841	483.95841	483.95841	-48.39584
170	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	171.46981	175.85531	180.27009	0.44148	223.88103	242.76392	254.79804	1.81077	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
180	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	180.27009	180.27009	180.27009	-18.02701	259.03658	260.87162	262.70665	-26.08716	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
190	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	28.22648	0.00000	0.00000	0.00000	30.68022	0.00000	0.00000	0.00000	0.00000
200	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	282.26477	282.26477	282.26477	-28.22648	283.64856	306.80219	329.95581	6.38886	0.00000	0.00000	0.00000	0.00000
210	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	358.89552	370.69074	382.48595	3.20399	0.00000	0.00000	0.00000	0.00000
220	0.00000	0.00000	0.00000	NULL	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	402.73065	402.73065	402.73065	2.13317	0.00000	0.00000	0.00000	0.00000
