"entry","entry","Quality","QualityName","ItemLevel","ItemLevelBracket","slot_group","slot_group_desc","slot","slot_name","class","class_name","subclass","subclass_name","InventoryType","InventoryTypeName","RequiredLevel","RequiredLevelBracket","BuyPrice","SellPrice","weight","drop_environment","source_type","stat_type1","stat_value1","stat_cost1","stat_total1","stat_type2","stat_value2","stat_cost2","stat_total2","stat_type3","stat_value3","stat_cost3","stat_total3","stat_type4","stat_value4","stat_cost4","stat_total4","stat_type5","stat_value5","stat_cost5","stat_total5","stat_type6","stat_value6","stat_cost6","stat_total6","stat_type7","stat_value7","stat_cost7","stat_total7","stat_type8","stat_value8","stat_cost8","stat_total8","stat_type9","stat_value9","stat_cost9","stat_total9","stat_type10","stat_value10","stat_cost10","stat_total10","stat_sum","dmg_min1","dmg_max1","delay","DPS","armor","armorCost","RandomProperty","RandomSuffix","socketBonus","socketCost","budget_actual","mod_drop","mod_misc","mod_slot","mod_source","budget_normalized","budget_target_raw","budget_diff_raw","budget_perc_raw","budget_target_3pnt","budget_diff_3pnt","budget_perc_3pnt","budget_target_mono","budget_diff_mono","budget_perc_mono"
"1913","Studded Blackjack","1","Common","10","10","1H-Weapon","1H-Axe, 1H-Mace, 1H-Sword, Dagger, Fist-Weapon","20421","Weapon    | 1H-Mace       | Main-Hand         ","2","Weapon","4","1H-Mace","21","Main-Hand","5","10","743","148","0.5","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","5","10","1800","4.16667","0","0.00000","0","0","0","0.00000","4.16667","1.00","1.00","1.01","1.00","4.12542","7.60515","-3.47973","0.54245","7.47446","-3.34904","0.55194","7.47446","-3.34904","0.55194"
"2366","Woven Pants","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40107","Equipment | Cloth         | Legs              ","4","Equipment","1","Cloth","7","Legs","5","10","298","59","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","16","3.20000","0","0","0","0.00000","3.20000","1.00","1.00","0.72","1.00","4.44444","7.60515","-3.16071","0.58440","7.47446","-3.03002","0.59462","7.47446","-3.03002","0.59462"
"799","Rough Leather Vest","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40205","Equipment | Leather       | Chest             ","4","Equipment","2","Leather","5","Chest","5","10","356","71","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","52","10.40000","0","0","0","0.00000","10.40000","1.00","1.00","1.07","1.00","9.71963","7.60515","2.11448","1.27803","7.47446","2.24517","1.30038","7.47446","2.24517","1.30038"
"2370","Battered Leather Harness","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40205","Equipment | Leather       | Chest             ","4","Equipment","2","Leather","5","Chest","5","10","378","75","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","52","10.40000","0","0","0","0.00000","10.40000","1.00","1.00","1.07","1.00","9.71963","7.60515","2.11448","1.27803","7.47446","2.24517","1.30038","7.47446","2.24517","1.30038"
"2303","Handstitched Leather Pants","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40207","Equipment | Leather       | Legs              ","4","Equipment","2","Leather","7","Legs","5","10","359","71","1","World","Crafted","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","46","9.20000","0","0","0","0.00000","9.20000","1.00","1.00","0.98","1.00","9.38776","7.60515","1.78261","1.23440","7.47446","1.91330","1.25598","7.47446","1.91330","1.25598"
"798","Rough Leather Pants","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40207","Equipment | Leather       | Legs              ","4","Equipment","2","Leather","7","Legs","5","10","355","71","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","46","9.20000","0","0","0","0.00000","9.20000","1.00","1.00","0.98","1.00","9.38776","7.60515","1.78261","1.23440","7.47446","1.91330","1.25598","7.47446","1.91330","1.25598"
"2372","Battered Leather Pants","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40207","Equipment | Leather       | Legs              ","4","Equipment","2","Leather","7","Legs","5","10","344","68","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","46","9.20000","0","0","0","0.00000","9.20000","1.00","1.00","0.98","1.00","9.38776","7.60515","1.78261","1.23440","7.47446","1.91330","1.25598","7.47446","1.91330","1.25598"
"2392","Light Mail Armor","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40305","Equipment | Mail          | Chest             ","4","Equipment","3","Mail","5","Chest","5","10","413","82","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","102","20.40000","0","0","0","0.00000","20.40000","1.00","1.00","1.65","1.00","12.36364","7.60515","4.75849","1.62569","7.47446","4.88918","1.65412","7.47446","4.88918","1.65412"
"2398","Light Chain Armor","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40305","Equipment | Mail          | Chest             ","4","Equipment","3","Mail","5","Chest","5","10","434","86","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","102","20.40000","0","0","0","0.00000","20.40000","1.00","1.00","1.65","1.00","12.36364","7.60515","4.75849","1.62569","7.47446","4.88918","1.65412","7.47446","4.88918","1.65412"
"2394","Light Mail Leggings","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40307","Equipment | Mail          | Legs              ","4","Equipment","3","Mail","7","Legs","5","10","416","83","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","90","18.00000","0","0","0","0.00000","18.00000","1.00","1.00","1.48","1.00","12.16216","7.60515","4.55701","1.59920","7.47446","4.68770","1.62716","7.47446","4.68770","1.62716"
"2400","Light Chain Leggings","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40307","Equipment | Mail          | Legs              ","4","Equipment","3","Mail","7","Legs","5","10","437","87","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","90","18.00000","0","0","0","0.00000","18.00000","1.00","1.00","1.48","1.00","12.16216","7.60515","4.55701","1.59920","7.47446","4.68770","1.62716","7.47446","4.68770","1.62716"
"4672","Ancestral Belt","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40106","Equipment | Cloth         | Waist             ","4","Equipment","1","Cloth","6","Waist","5","10","141","28","0.7708931986032557","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","10","2.00000","0","0","0","0.00000","2.00000","1.00","1.00","0.49","1.00","4.08163","7.60515","-3.52352","0.53669","7.47446","-3.39283","0.54608","7.47446","-3.39283","0.54608"
"6513","Disciple's Sash","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40106","Equipment | Cloth         | Waist             ","4","Equipment","1","Cloth","6","Waist","5","10","141","28","1","World","Gameobject","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","10","2.00000","0","0","0","0.00000","2.00000","1.00","1.00","0.49","1.00","4.08163","7.60515","-3.52352","0.53669","7.47446","-3.39283","0.54608","7.47446","-3.39283","0.54608"
"3602","Knitted Belt","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40106","Equipment | Cloth         | Waist             ","4","Equipment","1","Cloth","6","Waist","5","10","145","29","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","10","2.00000","0","0","0","0.00000","2.00000","1.00","1.00","0.49","1.00","4.08163","7.60515","-3.52352","0.53669","7.47446","-3.39283","0.54608","7.47446","-3.39283","0.54608"
"3606","Woven Belt","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40106","Equipment | Cloth         | Waist             ","4","Equipment","1","Cloth","6","Waist","5","10","147","29","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","10","2.00000","0","0","0","0.00000","2.00000","1.00","1.00","0.49","1.00","4.08163","7.60515","-3.52352","0.53669","7.47446","-3.39283","0.54608","7.47446","-3.39283","0.54608"
"6148","Web-covered Boots","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40108","Equipment | Cloth         | Feet              ","4","Equipment","1","Cloth","8","Feet","5","10","223","44","1","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","13","2.60000","0","0","0","0.00000","2.60000","1.00","1.00","0.53","1.00","4.90566","7.60515","-2.69949","0.64504","7.47446","-2.56880","0.65632","7.47446","-2.56880","0.65632"
"14086","Beaded Sandals","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40108","Equipment | Cloth         | Feet              ","4","Equipment","1","Cloth","8","Feet","5","10","225","45","0.7601156369618877","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","13","2.60000","0","0","0","0.00000","2.60000","1.00","1.00","0.53","1.00","4.90566","7.60515","-2.69949","0.64504","7.47446","-2.56880","0.65632","7.47446","-2.56880","0.65632"
"792","Knitted Sandals","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40108","Equipment | Cloth         | Feet              ","4","Equipment","1","Cloth","8","Feet","5","10","208","41","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","13","2.60000","0","0","0","0.00000","2.60000","1.00","1.00","0.53","1.00","4.90566","7.60515","-2.69949","0.64504","7.47446","-2.56880","0.65632","7.47446","-2.56880","0.65632"
"2367","Woven Boots","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40108","Equipment | Cloth         | Feet              ","4","Equipment","1","Cloth","8","Feet","5","10","224","44","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","13","2.60000","0","0","0","0.00000","2.60000","1.00","1.00","0.53","1.00","4.90566","7.60515","-2.69949","0.64504","7.47446","-2.56880","0.65632","7.47446","-2.56880","0.65632"
"3224","Silver-lined Bracers","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40109","Equipment | Cloth         | Wrists            ","4","Equipment","1","Cloth","9","Wrists","5","10","142","28","1","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","8","1.60000","0","0","0","0.00000","1.60000","1.00","1.00","0.37","1.00","4.32432","7.60515","-3.28083","0.56860","7.47446","-3.15014","0.57855","7.47446","-3.15014","0.57855"
"7350","Disciple's Bracers","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40109","Equipment | Cloth         | Wrists            ","4","Equipment","1","Cloth","9","Wrists","5","10","148","29","1","World","Gameobject","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","8","1.60000","0","0","0","0.00000","1.60000","1.00","1.00","0.37","1.00","4.32432","7.60515","-3.28083","0.56860","7.47446","-3.15014","0.57855","7.47446","-3.15014","0.57855"
"3603","Knitted Bracers","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40109","Equipment | Cloth         | Wrists            ","4","Equipment","1","Cloth","9","Wrists","5","10","146","29","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","8","1.60000","0","0","0","0.00000","1.60000","1.00","1.00","0.37","1.00","4.32432","7.60515","-3.28083","0.56860","7.47446","-3.15014","0.57855","7.47446","-3.15014","0.57855"
"3607","Woven Bracers","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40109","Equipment | Cloth         | Wrists            ","4","Equipment","1","Cloth","9","Wrists","5","10","148","29","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","8","1.60000","0","0","0","0.00000","1.60000","1.00","1.00","0.37","1.00","4.32432","7.60515","-3.28083","0.56860","7.47446","-3.15014","0.57855","7.47446","-3.15014","0.57855"
"14089","Beaded Gloves","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40110","Equipment | Cloth         | Hands             ","4","Equipment","1","Cloth","10","Hands","5","10","152","30","0.7934277996235424","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","11","2.20000","0","0","0","0.00000","2.20000","1.00","1.00","0.53","1.00","4.15094","7.60515","-3.45421","0.54581","7.47446","-3.32352","0.55535","7.47446","-3.32352","0.55535"
"793","Knitted Gloves","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40110","Equipment | Cloth         | Hands             ","4","Equipment","1","Cloth","10","Hands","5","10","139","27","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","11","2.20000","0","0","0","0.00000","2.20000","1.00","1.00","0.53","1.00","4.15094","7.60515","-3.45421","0.54581","7.47446","-3.32352","0.55535","7.47446","-3.32352","0.55535"
"2369","Woven Gloves","1","Common","10","10","Minor-Armor","Feet, Hands, Waist, Wrists","40110","Equipment | Cloth         | Hands             ","4","Equipment","1","Cloth","10","Hands","5","10","150","30","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","11","2.20000","0","0","0","0.00000","2.20000","1.00","1.00","0.53","1.00","4.15094","7.60515","-3.45421","0.54581","7.47446","-3.32352","0.55535","7.47446","-3.32352","0.55535"
